split,acc,mcc,recall_down,recall_up,recall_min,recall_gap,true_down_share,true_up_share,pred_down_share,pred_up_share,pred_target_gap,true_balance_gap_ud,pred_balance_gap_ud
train,0.9991,0.9981,0.9983,1.0,0.9983,0.0017,0.5598,0.4402,0.5589,0.4411,0.0009,0.1197,0.1178
val,0.4124,-0.1745,0.4115,0.4135,0.4115,0.0019,0.5388,0.4612,0.4922,0.5078,0.0466,0.0776,0.0155
test,0.6704,0.1314,0.6682,0.7778,0.6682,0.1096,0.9801,0.0199,0.6593,0.3407,0.3208,0.9602,0.3186
