run_id,seed,model_type,hidden_dims,dropout,cross_layers,cross_rank,embed_dim,learning_rate,weight_decay,class_weight_power,label_smoothing,batch_size,cutoff_kind,cutoff_objective,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_down_share,train_true_down_share,train_pred_sideways_share,train_true_sideways_share,train_true_balance_gap_ud,train_pred_balance_gap_ud,train_pred_target_gap,train_support_true_0,train_support_pred_0,train_share_true_0,train_share_pred_0,train_cm_00,train_cm_01,train_support_true_1,train_support_pred_1,train_share_true_1,train_share_pred_1,train_cm_10,train_cm_11,train_segment_n_segments,train_segment_n_segment_days,train_segment_weighted_hit_rate,train_segment_unweighted_hit_rate,train_segment_weighted_majority_hit,train_segment_unweighted_majority_hit,train_cutoff_score,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_down_share,val_true_down_share,val_pred_sideways_share,val_true_sideways_share,val_true_balance_gap_ud,val_pred_balance_gap_ud,val_pred_target_gap,val_support_true_0,val_support_pred_0,val_share_true_0,val_share_pred_0,val_cm_00,val_cm_01,val_support_true_1,val_support_pred_1,val_share_true_1,val_share_pred_1,val_cm_10,val_cm_11,val_segment_n_segments,val_segment_n_segment_days,val_segment_weighted_hit_rate,val_segment_unweighted_hit_rate,val_segment_weighted_majority_hit,val_segment_unweighted_majority_hit,val_cutoff_score,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_down_share,test_true_down_share,test_pred_sideways_share,test_true_sideways_share,test_true_balance_gap_ud,test_pred_balance_gap_ud,test_pred_target_gap,test_support_true_0,test_support_pred_0,test_share_true_0,test_share_pred_0,test_cm_00,test_cm_01,test_support_true_1,test_support_pred_1,test_share_true_1,test_share_pred_1,test_cm_10,test_cm_11,test_segment_n_segments,test_segment_n_segment_days,test_segment_weighted_hit_rate,test_segment_unweighted_hit_rate,test_segment_weighted_majority_hit,test_segment_unweighted_majority_hit,test_cutoff_score
15,45,dcn,256x128,0.55,5,48,0,0.0005,5e-05,1.6,0.05,512,threshold,segment_weighted,4,0.8799999999999996,0.4198977712725319,0.17747817039489747,0.9382716049382716,0.8797932536722144,0.9991518235793045,,0.86084142394822,0.86084142394822,0.1383103996310845,0.3793922127255461,0.44017094017094016,0.620607787274454,0.5598290598290598,0.0,0.0,0.11965811965811968,0.2412155745489079,0.06077872744539409,1179.0,1307.0,0.5598290598290598,0.620607787274454,1178.0,1.0,927.0,799.0,0.44017094017094016,0.3793922127255461,129.0,798.0,80.0,2086.0,0.9058451933507338,0.8329978137397305,0.9284482323155376,0.8625,0.8017344663155274,0.43458980044345896,-0.1307012344702898,0.43621399176954734,,0.4326923076923077,0.4326923076923077,0.0035216840772396285,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,106.0,137.0,208.0,227.0,0.4611973392461197,0.5033259423503326,118.0,90.0,12.0,451.0,0.4274183824991052,0.5060675709653938,0.5229601578203619,0.5,0.4198977712725319,0.9800884955752213,0.46130708464995895,0.9909706546275395,,0.4444444444444444,0.4444444444444444,0.5465262101830951,0.017699115044247787,0.01991150442477876,0.9823008849557522,0.9800884955752213,0.0,0.0,0.9601769911504425,0.9646017699115044,0.0022123893805309734,443.0,444.0,0.9800884955752213,0.9823008849557522,439.0,4.0,9.0,8.0,0.01991150442477876,0.017699115044247787,5.0,4.0,3.0,452.0,0.9773897900788028,0.8104858104858105,0.9618836727426586,0.6666666666666666,0.5945559562249725
36,44,dcn,192x96,0.6,2,48,0,0.0003,0.0003,1.6,0.02,384,threshold,segment_weighted,1,0.7599999999999997,0.37877751675110494,0.24501189589500427,0.7564102564102564,0.5065492877612648,0.8863443596268024,,0.5911542610571737,0.5911542610571737,0.29519009856962863,0.3238366571699905,0.44017094017094016,0.6761633428300095,0.5598290598290598,0.0,0.0,0.11965811965811968,0.35232668566001896,0.11633428300094967,1179.0,1424.0,0.5598290598290598,0.6761633428300095,1045.0,134.0,927.0,682.0,0.44017094017094016,0.3238366571699905,379.0,548.0,80.0,2086.0,0.6139178406720006,0.5718192052961433,0.6281468974887671,0.575,0.3933246577131466,0.4124168514412417,-0.1655057438665155,0.345679012345679,,0.49038461538461536,0.345679012345679,0.14470560303893637,0.5787139689578714,0.4611973392461197,0.4212860310421286,0.5388026607538803,0.0,0.0,0.07760532150776056,0.15742793791574283,0.1175166297117517,243.0,190.0,0.5388026607538803,0.4212860310421286,84.0,159.0,208.0,261.0,0.4611973392461197,0.5787139689578714,106.0,102.0,12.0,451.0,0.4941734344437706,0.5199876626297205,0.5866086294065546,0.5833333333333334,0.37877751675110494,0.7831858407079646,0.07979734638569345,0.7900677200902935,,0.4444444444444444,0.4444444444444444,0.34562327564584905,0.21460176991150443,0.01991150442477876,0.7853982300884956,0.9800884955752213,0.0,0.0,0.9601769911504425,0.5707964601769913,0.19469026548672566,443.0,355.0,0.9800884955752213,0.7853982300884956,350.0,93.0,9.0,97.0,0.01991150442477876,0.21460176991150443,5.0,4.0,3.0,452.0,0.8503005283399517,0.6919753086419753,0.9618836727426586,0.6666666666666666,0.5850014035294504
35,45,dcn,192x96,0.55,6,32,0,0.0003,0.0001,1.4,0.05,768,threshold,segment_weighted,1,0.6499999999999997,0.335338018697425,0.29710660378138226,0.782051282051282,0.5554373936102713,0.8575063613231552,,0.686084142394822,0.686084142394822,0.1714222189283332,0.3817663817663818,0.44017094017094016,0.6182336182336182,0.5598290598290598,0.0,0.0,0.11965811965811968,0.23646723646723644,0.05840455840455838,1179.0,1302.0,0.5598290598290598,0.6182336182336182,1011.0,168.0,927.0,804.0,0.44017094017094016,0.3817663817663818,291.0,636.0,80.0,2086.0,0.6650810107016806,0.6122097118924128,0.6767546970909103,0.6375,0.5380769104433003,0.37472283813747226,-0.24681778977191435,0.35390946502057613,,0.39903846153846156,0.35390946502057613,0.045128996517885434,0.532150776053215,0.4611973392461197,0.4678492239467849,0.5388026607538803,0.0,0.0,0.07760532150776056,0.06430155210643013,0.07095343680709532,243.0,211.0,0.5388026607538803,0.4678492239467849,86.0,157.0,208.0,240.0,0.4611973392461197,0.532150776053215,125.0,83.0,12.0,451.0,0.37544272867679623,0.5835657711165061,0.1722561633097448,0.5,0.335338018697425,0.8761061946902655,0.09572852661151203,0.8871331828442438,,0.3333333333333333,0.3333333333333333,0.5537998495109104,0.1172566371681416,0.01991150442477876,0.8827433628318584,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7654867256637168,0.09734513274336283,443.0,399.0,0.9800884955752213,0.8827433628318584,393.0,50.0,9.0,53.0,0.01991150442477876,0.1172566371681416,6.0,3.0,3.0,452.0,0.9566582082116775,0.7236652236652237,0.9618836727426586,0.6666666666666666,0.5573168976248366
39,44,dcn,320x160,0.4,5,48,0,0.0008,0.0001,1.4,0.05,512,threshold,segment_weighted,5,0.5699999999999997,0.42920963864777945,0.1490883857011795,0.9952516619183286,0.9903653746387016,0.9957591178965225,,0.9946062567421791,0.9946062567421791,0.001152861154343432,0.44017094017094016,0.44017094017094016,0.5598290598290598,0.5598290598290598,0.0,0.0,0.11965811965811968,0.11965811965811968,0.0,1179.0,1179.0,0.5598290598290598,0.5598290598290598,1174.0,5.0,927.0,927.0,0.44017094017094016,0.44017094017094016,5.0,922.0,80.0,2086.0,0.9946177517671463,0.9885044642857143,1.0,1.0,0.9938107489591059,0.43902439024390244,-0.12112654746390716,0.43621399176954734,,0.4423076923076923,0.43621399176954734,0.006093700538144953,0.5077605321507761,0.4611973392461197,0.49223946784922396,0.5388026607538803,0.0,0.0,0.07760532150776056,0.015521064301552145,0.04656319290465638,243.0,222.0,0.5388026607538803,0.49223946784922396,106.0,137.0,208.0,229.0,0.4611973392461197,0.5077605321507761,116.0,92.0,12.0,451.0,0.4390628121730397,0.5937979874836846,0.2924139050039742,0.5833333333333334,0.42920963864777945,0.4469026548672566,-0.061019770864245614,0.4492099322799097,,0.3333333333333333,0.3333333333333333,0.11587659894657637,0.5464601769911505,0.01991150442477876,0.45353982300884954,0.9800884955752213,0.0,0.0,0.9601769911504425,0.09292035398230092,0.5265486725663717,443.0,205.0,0.9800884955752213,0.45353982300884954,199.0,244.0,9.0,247.0,0.01991150442477876,0.5464601769911505,6.0,3.0,3.0,452.0,0.6848452635889846,0.46655443322109985,0.8514292859300734,0.3333333333333333,0.5405458036184165
18,45,dcn,256x128,0.5,4,48,0,0.0008,0.0003,1.4,0.08,512,threshold,segment_weighted,2,0.6199999999999998,0.37932458509796196,0.22307313978672028,0.97340930674264,0.9460245801745677,0.9787955894826124,,0.9665587918015103,0.9665587918015103,0.012236797681102085,0.4373219373219373,0.44017094017094016,0.5626780626780626,0.5598290598290598,0.0,0.0,0.11965811965811968,0.12535612535612534,0.0028490028490028574,1179.0,1185.0,0.5598290598290598,0.5626780626780626,1154.0,25.0,927.0,921.0,0.44017094017094016,0.4373219373219373,31.0,896.0,80.0,2086.0,0.960669410045385,0.9116279013677051,0.9787018748666054,0.95,0.9517617713267332,0.38802660753880264,-0.21845241406813967,0.35390946502057613,,0.42788461538461536,0.35390946502057613,0.07397515036403923,0.5454545454545454,0.4611973392461197,0.45454545454545453,0.5388026607538803,0.0,0.0,0.07760532150776056,0.09090909090909088,0.0842572062084257,243.0,205.0,0.5388026607538803,0.45454545454545453,86.0,157.0,208.0,246.0,0.4611973392461197,0.5454545454545454,119.0,89.0,12.0,451.0,0.44121805509780054,0.5701749610803385,0.2924139050039742,0.5833333333333334,0.37932458509796196,0.7345132743362832,-0.010538633641039567,0.744920993227991,,0.2222222222222222,0.2222222222222222,0.5226987710057688,0.25442477876106195,0.01991150442477876,0.745575221238938,0.9800884955752213,0.0,0.0,0.9601769911504425,0.4911504424778761,0.2345132743362832,443.0,337.0,0.9800884955752213,0.745575221238938,330.0,113.0,9.0,115.0,0.01991150442477876,0.25442477876106195,7.0,2.0,3.0,452.0,0.9298301179815198,0.6184463684463685,0.9618836727426586,0.6666666666666666,0.5357993853571277
20,44,dcn,384x192x96,0.6,4,96,0,0.001,0.0001,1.4,0.08,768,threshold,segment_weighted,2,0.4999999999999998,0.4832830695414241,0.25092074275016785,0.9539411206077872,0.9064772375517302,0.9652247667514843,,0.9395900755124056,0.9395900755124056,0.02563469123907869,0.43304843304843305,0.44017094017094016,0.5669515669515669,0.5598290598290598,0.0,0.0,0.11965811965811968,0.13390313390313385,0.007122507122507116,1179.0,1194.0,0.5598290598290598,0.5669515669515669,1138.0,41.0,927.0,912.0,0.44017094017094016,0.43304843304843305,56.0,871.0,80.0,2086.0,0.950691953944779,0.8876691835646344,0.9822951193819915,0.9375,0.9318929692227231,0.4722838137472284,-0.05542759525592177,0.4732510288065844,,0.47115384615384615,0.47115384615384615,0.0020971826527382276,0.5011086474501109,0.4611973392461197,0.49889135254988914,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.039911308203991136,243.0,225.0,0.5388026607538803,0.49889135254988914,115.0,128.0,208.0,226.0,0.4611973392461197,0.5011086474501109,110.0,98.0,12.0,451.0,0.48954045438281973,0.530073894042538,0.4417832255575592,0.5,0.4832830695414241,0.4911504424778761,-0.13941501137220963,0.5011286681715575,,0.0,0.0,0.5011286681715575,0.4889380530973451,0.01991150442477876,0.5110619469026548,0.9800884955752213,0.0,0.0,0.9601769911504425,0.022123893805309713,0.4690265486725664,443.0,231.0,0.9800884955752213,0.5110619469026548,222.0,221.0,9.0,221.0,0.01991150442477876,0.4889380530973451,9.0,0.0,3.0,452.0,0.8826290640232387,0.42748917748917753,0.8514292859300734,0.3333333333333333,0.4755558104624405
29,44,dcn,384x192x96,0.4,4,96,0,0.0005,1e-05,1.3,0.02,512,threshold,segment_weighted,4,0.7199999999999996,0.4913087147567621,0.08462778180837631,0.99002849002849,0.9797669989259242,0.993214588634436,,0.9859762675296656,0.9859762675296656,0.007238321104770407,0.43779677113010446,0.44017094017094016,0.5622032288698955,0.5598290598290598,0.0,0.0,0.11965811965811968,0.12440645773979103,0.0023741690408357052,1179.0,1184.0,0.5598290598290598,0.5622032288698955,1171.0,8.0,927.0,922.0,0.44017094017094016,0.43779677113010446,13.0,914.0,80.0,2086.0,0.9870755242421879,0.9798231837606839,1.0,1.0,0.9817237991839484,0.49889135254988914,-0.0006707861051189054,0.4897119341563786,,0.5096153846153846,0.4897119341563786,0.01990345045900599,0.5099778270509978,0.4611973392461197,0.49002217294900224,0.5388026607538803,0.0,0.0,0.07760532150776056,0.019955654101995568,0.04878048780487809,243.0,221.0,0.5388026607538803,0.49002217294900224,119.0,124.0,208.0,230.0,0.4611973392461197,0.5099778270509978,102.0,106.0,12.0,451.0,0.5110947886146516,0.6103750918420325,0.5200291829171958,0.5833333333333334,0.4913087147567621,0.7101769911504425,-0.05214314201289753,0.7223476297968398,,0.1111111111111111,0.1111111111111111,0.6112365186857287,0.2743362831858407,0.01991150442477876,0.7256637168141593,0.9800884955752213,0.0,0.0,0.9601769911504425,0.4513274336283186,0.25442477876106195,443.0,328.0,0.9800884955752213,0.7256637168141593,320.0,123.0,9.0,124.0,0.01991150442477876,0.2743362831858407,8.0,1.0,3.0,452.0,0.9220087891184628,0.5705868205868206,0.9618836727426586,0.6666666666666666,0.46361225258712535
30,45,dcn,256x128,0.55,4,64,0,0.001,0.0003,1.4,0.05,512,threshold,segment_weighted,8,0.5899999999999997,0.33416798763571864,0.16824049651622772,0.9962013295346629,0.9922923651817162,0.9974554707379135,,0.9946062567421791,0.9946062567421791,0.0028492139957344564,0.4392212725546059,0.44017094017094016,0.5607787274453941,0.5598290598290598,0.0,0.0,0.11965811965811968,0.12155745489078823,0.0009496676163342488,1179.0,1181.0,0.5598290598290598,0.5607787274453941,1176.0,3.0,927.0,925.0,0.44017094017094016,0.4392212725546059,5.0,922.0,80.0,2086.0,0.9954755160909057,0.9844444444444445,0.996107663386524,0.9875,0.9933671061799314,0.36363636363636365,-0.26993383849178654,0.3497942386831276,,0.3798076923076923,0.3497942386831276,0.0300134536245647,0.5254988913525499,0.4611973392461197,0.4745011086474501,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0509977827050998,0.06430155210643018,243.0,214.0,0.5388026607538803,0.4745011086474501,85.0,158.0,208.0,237.0,0.4611973392461197,0.5254988913525499,129.0,79.0,12.0,451.0,0.36289359142568556,0.5179577826629858,0.24936824415610304,0.5,0.33416798763571864,0.5730088495575221,0.005670607406924174,0.5756207674943566,,0.4444444444444444,0.4444444444444444,0.13117632304991222,0.4247787610619469,0.01991150442477876,0.5752212389380531,0.9800884955752213,0.0,0.0,0.9601769911504425,0.1504424778761062,0.40486725663716816,443.0,260.0,0.9800884955752213,0.5752212389380531,255.0,188.0,9.0,192.0,0.01991150442477876,0.4247787610619469,5.0,4.0,3.0,452.0,0.572352921255086,0.5322991822991823,0.9618836727426586,0.6666666666666666,0.43194542432368727
24,44,dcn,384x192x96,0.5,3,32,0,0.0003,0.0001,1.6,0.02,512,threshold,segment_weighted,3,0.5299999999999998,0.40648994294970414,0.1608511507511139,0.9150047483380817,0.8301595121377352,0.8982188295165394,,0.9363538295577131,0.8982188295165394,0.03813500004117365,0.4691358024691358,0.44017094017094016,0.5308641975308642,0.5598290598290598,0.0,0.0,0.11965811965811968,0.06172839506172845,0.028964862298195615,1179.0,1118.0,0.5598290598290598,0.5308641975308642,1059.0,120.0,927.0,988.0,0.44017094017094016,0.4691358024691358,59.0,868.0,80.0,2086.0,0.8915891736635904,0.7755316895699587,0.930187316336429,0.8125,0.8614188901589853,0.4124168514412417,-0.16150621311675872,0.3045267489711934,,0.5384615384615384,0.3045267489711934,0.23393478949034502,0.623059866962306,0.4611973392461197,0.376940133037694,0.5388026607538803,0.0,0.0,0.07760532150776056,0.24611973392461195,0.16186252771618626,243.0,170.0,0.5388026607538803,0.376940133037694,74.0,169.0,208.0,281.0,0.4611973392461197,0.623059866962306,96.0,112.0,12.0,451.0,0.589667798918888,0.5839711044022146,0.5498583665243387,0.5,0.40648994294970414,0.6526548672566371,-0.0994519853905534,0.6659142212189616,,0.0,0.0,0.6659142212189616,0.3274336283185841,0.01991150442477876,0.672566371681416,0.9800884955752213,0.0,0.0,0.9601769911504425,0.3451327433628319,0.30752212389380534,443.0,304.0,0.9800884955752213,0.672566371681416,295.0,148.0,9.0,148.0,0.01991150442477876,0.3274336283185841,9.0,0.0,3.0,452.0,0.9088081881703775,0.5064935064935064,0.9618836727426586,0.6666666666666666,0.40576557844984773
34,45,dcn,320x160,0.5,5,48,0,0.0003,1e-05,1.5,0.02,768,threshold,segment_weighted,8,0.8099999999999996,0.41631315105841565,0.14259380102157593,0.976258309591643,0.952515977467792,0.998303647158609,,0.948220064724919,0.948220064724919,0.05008358243368993,0.41832858499525166,0.44017094017094016,0.5816714150047484,0.5598290598290598,0.0,0.0,0.11965811965811968,0.16334283000949673,0.0218423551756885,1179.0,1225.0,0.5598290598290598,0.5816714150047484,1177.0,2.0,927.0,881.0,0.44017094017094016,0.41832858499525166,48.0,879.0,80.0,2086.0,0.960653762711616,0.9309508284434495,0.996107663386524,0.9875,0.9229741723869503,0.4501108647450111,-0.09922322207048588,0.448559670781893,,0.4519230769230769,0.448559670781893,0.003363406141183911,0.5055432372505543,0.4611973392461197,0.49445676274944567,0.5388026607538803,0.0,0.0,0.07760532150776056,0.011086474501108612,0.04434589800443456,243.0,223.0,0.5388026607538803,0.49445676274944567,109.0,134.0,208.0,228.0,0.4611973392461197,0.5055432372505543,114.0,94.0,12.0,451.0,0.4239890431177765,0.597310526486527,0.2924139050039742,0.5833333333333334,0.41631315105841565,0.8539823008849557,-0.008216402242568994,0.8690744920993227,,0.1111111111111111,0.1111111111111111,0.7579633809882116,0.13053097345132744,0.01991150442477876,0.8694690265486725,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7389380530973451,0.11061946902654868,443.0,393.0,0.9800884955752213,0.8694690265486725,385.0,58.0,9.0,59.0,0.01991150442477876,0.13053097345132744,8.0,1.0,3.0,452.0,0.9453189681535864,0.6409331409331409,0.9618836727426586,0.6666666666666666,0.4014702651786525
