model,model_type,seed,epochs,batch_size,lr,weight_decay,dropout,cross_layers,cross_rank,embed_dim,hidden_dims,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_target_gap,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_target_gap,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_target_gap
dcn_base,dcn,42,3,512,0.001,0.0001,0.15,3,64,32,384x192x96,threshold,3,0.65,0.569552170390585,0.08371538519859315,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.6962305986696231,0.4050488157119001,0.6296296296296297,,0.7740384615384616,0.6296296296296297,0.14440883190883191,0.5565410199556541,0.4611973392461197,0.09534368070953436,0.9933628318584071,0.8630880564739563,0.9932279909706546,,1.0,0.9932279909706546,0.006772009029345383,0.02654867256637168,0.01991150442477876,0.00663716814159292
dcn_deep_cross,dcn,42,3,512,0.001,0.0001,0.15,5,64,32,384x192x96,threshold,3,0.4,0.983187775100038,0.09315976649522781,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.9889135254988913,0.9776947143006248,0.9917695473251029,,0.9855769230769231,0.9855769230769231,0.00619262424817979,0.458980044345898,0.4611973392461197,0.0022172949002217113,0.9646017699115044,0.5890651429711801,0.963882618510158,,1.0,0.963882618510158,0.036117381489842004,0.05530973451327434,0.01991150442477876,0.035398230088495575
dcn_high_dropout,dcn,42,3,512,0.001,0.0001,0.3,3,64,32,384x192x96,threshold,3,0.65,0.5329840383194042,0.08819309324026108,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.6851441241685144,0.3866639144098626,0.6049382716049383,,0.7788461538461539,0.6049382716049383,0.17390788224121556,0.5720620842572062,0.4611973392461197,0.11086474501108645,0.9004424778761062,0.3456845251053906,0.9006772009029346,,0.8888888888888888,0.8888888888888888,0.011788312014045732,0.11504424778761062,0.01991150442477876,0.09513274336283185
deepfm_high_dropout,deepfm,42,3,512,0.001,0.0001,0.3,3,64,32,384x192x96,threshold,2,0.65,0.135935693710084,0.5514245748519897,0.8314339981006648,0.6694115004677463,0.9575911789652247,,0.6709816612729234,0.6709816612729234,0.28660951769230136,0.3190883190883191,0.44017094017094016,0.12108262108262108,0.48558758314855877,0.0025411878924914977,0.3004115226337449,,0.7019230769230769,0.3004115226337449,0.401511554289332,0.7006651884700665,0.4611973392461197,0.23946784922394682,0.8849557522123894,0.27980188389450095,0.8871331828442438,,0.7777777777777778,0.7777777777777778,0.10935540506646602,0.1261061946902655,0.01991150442477876,0.10619469026548672
deepfm_base,deepfm,42,3,512,0.001,0.0001,0.15,3,64,32,384x192x96,threshold,3,0.65,0.030552298311444674,0.9967009544372558,0.8917378917378918,0.7805213421899794,0.9355385920271416,,0.8360302049622438,0.8360302049622438,0.09950838706489784,0.40408357075023743,0.44017094017094016,0.03608736942070273,0.5188470066518847,0.09764957264957265,0.25925925925925924,,0.8221153846153846,0.25925925925925924,0.5628561253561253,0.7782705099778271,0.4611973392461197,0.3170731707317074,0.661504424778761,0.19070447461734347,0.654627539503386,,1.0,0.654627539503386,0.34537246049661396,0.3584070796460177,0.01991150442477876,0.33849557522123896
dcn_wider_mlp,dcn,42,3,512,0.001,0.0001,0.15,3,64,32,512x256x128,threshold,3,0.65,0.6560193871169482,0.0955997422337532,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.7028824833702882,0.40862711203596375,0.6790123456790124,,0.7307692307692307,0.6790123456790124,0.05175688509021836,0.5099778270509978,0.4611973392461197,0.04878048780487809,0.9845132743362832,0.4677236706633153,1.0,,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.004424778761061947,0.01991150442477876,0.015486725663716814
deepfm_wider_mlp,deepfm,42,3,512,0.001,0.0001,0.15,3,64,32,512x256x128,threshold,2,0.35,0.32814979673042005,0.8663596391677857,0.775403608736942,0.5424821338504449,0.8676844783715013,,0.6580366774541532,0.6580366774541532,0.20964780091734814,0.3637226970560304,0.44017094017094016,0.07644824311490978,0.6674057649667405,0.3316019191548896,0.8353909465020576,,0.47115384615384615,0.47115384615384615,0.36423710034821144,0.30598669623059865,0.4611973392461197,0.15521064301552107,0.831858407079646,-0.059460208562815836,0.8487584650112867,,0.0,0.0,0.8487584650112867,0.14823008849557523,0.01991150442477876,0.12831858407079647
deepfm_embed64,deepfm,42,3,512,0.001,0.0001,0.15,3,64,64,384x192x96,threshold,3,0.35,0.35557436422104444,1.7246907711029054,0.9164292497625831,0.8325933875184676,0.9024597116200169,,0.9341963322545846,0.9024597116200169,0.031736620634567725,0.4658119658119658,0.44017094017094016,0.02564102564102566,0.48558758314855877,-0.04017942036948389,0.551440329218107,,0.40865384615384615,0.40865384615384615,0.1427864830642609,0.43015521064301554,0.4611973392461197,0.03104212860310418,0.7654867256637168,-0.0745059715451448,0.781038374717833,,0.0,0.0,0.781038374717833,0.21460176991150443,0.01991150442477876,0.19469026548672566
