run_id,seed,model_type,hidden_dims,dropout,cross_layers,cross_rank,embed_dim,learning_rate,weight_decay,class_weight_power,label_smoothing,batch_size,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_down_share,train_true_down_share,train_pred_sideways_share,train_true_sideways_share,train_true_balance_gap_ud,train_pred_balance_gap_ud,train_pred_target_gap,train_support_true_0,train_support_pred_0,train_share_true_0,train_share_pred_0,train_cm_00,train_cm_01,train_support_true_1,train_support_pred_1,train_share_true_1,train_share_pred_1,train_cm_10,train_cm_11,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_down_share,val_true_down_share,val_pred_sideways_share,val_true_sideways_share,val_true_balance_gap_ud,val_pred_balance_gap_ud,val_pred_target_gap,val_support_true_0,val_support_pred_0,val_share_true_0,val_share_pred_0,val_cm_00,val_cm_01,val_support_true_1,val_support_pred_1,val_share_true_1,val_share_pred_1,val_cm_10,val_cm_11,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_down_share,test_true_down_share,test_pred_sideways_share,test_true_sideways_share,test_true_balance_gap_ud,test_pred_balance_gap_ud,test_pred_target_gap,test_support_true_0,test_support_pred_0,test_share_true_0,test_share_pred_0,test_cm_00,test_cm_01,test_support_true_1,test_support_pred_1,test_share_true_1,test_share_pred_1,test_cm_10,test_cm_11
71,44,dcn,640x320x160,0.25,6,32,0,0.001,5e-05,1.6,0.02,768,threshold,6,0.43,0.4887439706985778,0.07562142113844554,0.9995251661918328,0.9990371121012571,0.9991518235793045,,1.0,0.9991518235793045,0.0008481764206954567,0.4406457739791073,0.44017094017094016,0.5593542260208927,0.5598290598290598,0.0,0.0,0.11965811965811968,0.11870845204178537,0.00047483380816715215,1179.0,1178.0,0.5598290598290598,0.5593542260208927,1178.0,1.0,927.0,928.0,0.44017094017094016,0.4406457739791073,0.0,927.0,0.49667405764966743,-0.0068446176348059985,0.49794238683127573,,0.4951923076923077,0.4951923076923077,0.00275007913896802,0.49889135254988914,0.4611973392461197,0.5011086474501109,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.037694013303769425,243.0,226.0,0.5388026607538803,0.5011086474501109,121.0,122.0,208.0,225.0,0.4611973392461197,0.49889135254988914,105.0,103.0,0.6216814159292036,-0.04288365892813813,0.6297968397291196,,0.2222222222222222,0.2222222222222222,0.4075746175068974,0.3672566371681416,0.01991150442477876,0.6327433628318584,0.9800884955752213,0.0,0.0,0.9601769911504425,0.2654867256637168,0.34734513274336287,443.0,286.0,0.9800884955752213,0.6327433628318584,279.0,164.0,9.0,166.0,0.01991150442477876,0.3672566371681416,7.0,2.0
38,45,dcn,640x320x160,0.25,3,32,0,0.0003,1e-05,1.4,0.01,768,threshold,1,0.5,0.30861198497377357,0.14621113240718842,0.7863247863247863,0.5789385767346397,0.7480916030534351,,0.8349514563106796,0.7480916030534351,0.08685985325724443,0.5085470085470085,0.44017094017094016,0.49145299145299143,0.5598290598290598,0.0,0.0,0.11965811965811968,0.01709401709401709,0.06837606837606836,1179.0,1035.0,0.5598290598290598,0.49145299145299143,882.0,297.0,927.0,1071.0,0.44017094017094016,0.5085470085470085,153.0,774.0,0.31929046563192903,-0.360721119361009,0.32098765432098764,,0.3173076923076923,0.3173076923076923,0.003679962013295346,0.5121951219512195,0.4611973392461197,0.4878048780487805,0.5388026607538803,0.0,0.0,0.07760532150776056,0.024390243902439046,0.0509977827050998,243.0,220.0,0.5388026607538803,0.4878048780487805,78.0,165.0,208.0,231.0,0.4611973392461197,0.5121951219512195,142.0,66.0,0.7345132743362832,-0.010538633641039567,0.744920993227991,,0.2222222222222222,0.2222222222222222,0.5226987710057688,0.25442477876106195,0.01991150442477876,0.745575221238938,0.9800884955752213,0.0,0.0,0.9601769911504425,0.4911504424778761,0.2345132743362832,443.0,337.0,0.9800884955752213,0.745575221238938,330.0,113.0,9.0,115.0,0.01991150442477876,0.25442477876106195,7.0,2.0
43,44,dcn,512x256x128,0.45,3,128,0,0.0005,0.0001,1.6,0.01,768,threshold,2,0.58,0.4331419503912729,0.07406953473885854,0.9572649572649573,0.913245972311665,0.9694656488549618,,0.941747572815534,0.941747572815534,0.027718076039427775,0.43162393162393164,0.44017094017094016,0.5683760683760684,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1367521367521367,0.008547008547008517,1179.0,1197.0,0.5598290598290598,0.5683760683760684,1143.0,36.0,927.0,909.0,0.44017094017094016,0.43162393162393164,54.0,873.0,0.44567627494456763,-0.10880377773368843,0.448559670781893,,0.4423076923076923,0.4423076923076923,0.006251978474200726,0.5011086474501109,0.4611973392461197,0.49889135254988914,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.039911308203991136,243.0,225.0,0.5388026607538803,0.49889135254988914,109.0,134.0,208.0,226.0,0.4611973392461197,0.5011086474501109,116.0,92.0,0.7367256637168141,-0.009842964914087475,0.7471783295711061,,0.2222222222222222,0.2222222222222222,0.5249561073488839,0.252212389380531,0.01991150442477876,0.7477876106194691,0.9800884955752213,0.0,0.0,0.9601769911504425,0.4955752212389381,0.2323008849557522,443.0,338.0,0.9800884955752213,0.7477876106194691,331.0,112.0,9.0,114.0,0.01991150442477876,0.252212389380531,7.0,2.0
35,45,dcn,384x192x96,0.35,3,64,0,0.001,0.0005,1.2,0.02,384,threshold,7,0.71,0.3934171855445568,0.07496671130259831,0.9990503323836657,0.998074484331713,1.0,,0.9978425026968716,0.9978425026968716,0.0021574973031284195,0.4392212725546059,0.44017094017094016,0.5607787274453941,0.5598290598290598,0.0,0.0,0.11965811965811968,0.12155745489078823,0.0009496676163342488,1179.0,1181.0,0.5598290598290598,0.5607787274453941,1179.0,0.0,927.0,925.0,0.44017094017094016,0.4392212725546059,2.0,925.0,0.4079822616407982,-0.18407846665812624,0.411522633744856,,0.40384615384615385,0.40384615384615385,0.0076764798987021265,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,100.0,143.0,208.0,227.0,0.4611973392461197,0.5033259423503326,124.0,84.0,0.8938053097345132,0.06174069920067315,0.90744920993228,,0.2222222222222222,0.2222222222222222,0.6852269877100577,0.09513274336283185,0.01991150442477876,0.9048672566371682,0.9800884955752213,0.0,0.0,0.9601769911504425,0.8097345132743363,0.07522123893805309,443.0,409.0,0.9800884955752213,0.9048672566371682,402.0,41.0,9.0,43.0,0.01991150442477876,0.09513274336283185,7.0,2.0
13,44,dcn,640x320x160,0.25,4,128,0,0.0003,0.0001,1.3,0.05,768,threshold,5,0.44,0.4013241870796071,0.15948079029719034,0.9957264957264957,0.9913453222639085,0.9940627650551315,,0.9978425026968716,0.9940627650551315,0.0037797376417401107,0.44254510921177587,0.44017094017094016,0.5574548907882241,0.5598290598290598,0.0,0.0,0.11965811965811968,0.11490978157644821,0.0023741690408357052,1179.0,1174.0,0.5598290598290598,0.5574548907882241,1172.0,7.0,927.0,932.0,0.44017094017094016,0.44254510921177587,2.0,925.0,0.41019955654101997,-0.17929221976116227,0.411522633744856,,0.40865384615384615,0.40865384615384615,0.002868787591009836,0.5055432372505543,0.4611973392461197,0.49445676274944567,0.5388026607538803,0.0,0.0,0.07760532150776056,0.011086474501108612,0.04434589800443456,243.0,223.0,0.5388026607538803,0.49445676274944567,100.0,143.0,208.0,228.0,0.4611973392461197,0.5055432372505543,123.0,85.0,0.18584070796460178,-0.17143640509747224,0.18284424379232506,,0.3333333333333333,0.18284424379232506,0.15048908954100826,0.8075221238938053,0.01991150442477876,0.19247787610619468,0.9800884955752213,0.0,0.0,0.9601769911504425,0.6150442477876106,0.7876106194690266,443.0,87.0,0.9800884955752213,0.19247787610619468,81.0,362.0,9.0,365.0,0.01991150442477876,0.8075221238938053,6.0,3.0
20,45,dcn,512x256x128,0.25,5,64,0,0.0003,0.0001,1.2,0.0,768,threshold,1,0.54,0.45903723935905505,0.06218114495277405,0.8433048433048433,0.6813165698231752,0.8710771840542832,,0.807982740021575,0.807982740021575,0.06309444403270825,0.4278252611585945,0.44017094017094016,0.5721747388414055,0.5598290598290598,0.0,0.0,0.11965811965811968,0.14434947768281098,0.012345679012345678,1179.0,1205.0,0.5598290598290598,0.5721747388414055,1027.0,152.0,927.0,901.0,0.44017094017094016,0.4278252611585945,178.0,749.0,0.4656319290465632,-0.06842779691781398,0.46502057613168724,,0.46634615384615385,0.46502057613168724,0.0013255777144666192,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,113.0,130.0,208.0,227.0,0.4611973392461197,0.5033259423503326,111.0,97.0,0.18141592920353983,-0.21160709203581202,0.18058690744920994,,0.2222222222222222,0.18058690744920994,0.04163531477301227,0.8075221238938053,0.01991150442477876,0.19247787610619468,0.9800884955752213,0.0,0.0,0.9601769911504425,0.6150442477876106,0.7876106194690266,443.0,87.0,0.9800884955752213,0.19247787610619468,80.0,363.0,9.0,365.0,0.01991150442477876,0.8075221238938053,7.0,2.0
