exclude_bodies,n_excluded,n_features,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
NONE,0,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Sun,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Moon,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Mercury,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Venus,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Mars,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Jupiter,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Saturn,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Uranus,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Neptune,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Pluto,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
Node,1,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
"Sun,Moon",2,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
"Sun,Mercury",2,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
"Sun,Venus",2,834,0.3376172592628721,0.3187735583684951,0.023220932651711948,0.6089108910891089,0.0,0.0,0.6089108910891089,0.0,0.6089108910891089
