model,model_type,seed,epochs,batch_size,lr,weight_decay,dropout,cross_layers,cross_rank,embed_dim,hidden_dims,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_down_share,train_true_down_share,train_pred_sideways_share,train_true_sideways_share,train_true_balance_gap_ud,train_pred_balance_gap_ud,train_pred_target_gap,train_support_true_0,train_support_pred_0,train_share_true_0,train_share_pred_0,train_cm_00,train_cm_01,train_support_true_1,train_support_pred_1,train_share_true_1,train_share_pred_1,train_cm_10,train_cm_11,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_down_share,val_true_down_share,val_pred_sideways_share,val_true_sideways_share,val_true_balance_gap_ud,val_pred_balance_gap_ud,val_pred_target_gap,val_support_true_0,val_support_pred_0,val_share_true_0,val_share_pred_0,val_cm_00,val_cm_01,val_support_true_1,val_support_pred_1,val_share_true_1,val_share_pred_1,val_cm_10,val_cm_11,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_down_share,test_true_down_share,test_pred_sideways_share,test_true_sideways_share,test_true_balance_gap_ud,test_pred_balance_gap_ud,test_pred_target_gap,test_support_true_0,test_support_pred_0,test_share_true_0,test_share_pred_0,test_cm_00,test_cm_01,test_support_true_1,test_support_pred_1,test_share_true_1,test_share_pred_1,test_cm_10,test_cm_11
dcn_narrow,dcn,42,6,512,0.001,0.0001,0.15,3,64,32,256x128,threshold,3,0.64,0.411909024053333,0.08633985817432403,0.9919278252611586,0.9836566788924972,0.989821882951654,,0.9946062567421791,0.989821882951654,0.004784373790525098,0.44349477682811017,0.44017094017094016,0.5565052231718899,0.5598290598290598,0.0,0.0,0.11965811965811968,0.11301044634377971,0.0033238366571700095,1179.0,1172.0,0.5598290598290598,0.5565052231718899,1167.0,12.0,927.0,934.0,0.44017094017094016,0.44349477682811017,5.0,922.0,0.4190687361419069,-0.16149910916323418,0.41975308641975306,,0.4182692307692308,0.4182692307692308,0.001483855650522281,0.5055432372505543,0.4611973392461197,0.49445676274944567,0.5388026607538803,0.0,0.0,0.07760532150776056,0.011086474501108612,0.04434589800443456,243.0,223.0,0.5388026607538803,0.49445676274944567,102.0,141.0,208.0,228.0,0.4611973392461197,0.5055432372505543,121.0,87.0,0.21902654867256638,-0.25438220948532064,0.2234762979683973,,0.0,0.0,0.2234762979683973,0.7610619469026548,0.01991150442477876,0.23893805309734514,0.9800884955752213,0.0,0.0,0.9601769911504425,0.5221238938053097,0.7411504424778761,443.0,108.0,0.9800884955752213,0.23893805309734514,99.0,344.0,9.0,344.0,0.01991150442477876,0.7610619469026548,9.0,0.0
deepfm_dropout_low,deepfm,43,6,512,0.001,0.0001,0.08,3,64,32,384x192x96,threshold,3,0.46,0.4198792779788714,0.23133383095264434,0.8266856600189934,0.6489131802292011,0.8396946564885496,,0.8101402373247033,0.8101402373247033,0.02955441916384627,0.44634377967711303,0.44017094017094016,0.553656220322887,0.5598290598290598,0.0,0.0,0.11965811965811968,0.10731244064577394,0.006172839506172867,1179.0,1166.0,0.5598290598290598,0.553656220322887,990.0,189.0,927.0,940.0,0.44017094017094016,0.44634377967711303,176.0,751.0,0.43015521064301554,-0.13959743983492923,0.43209876543209874,,0.42788461538461536,0.42788461538461536,0.004214150047483378,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,105.0,138.0,208.0,227.0,0.4611973392461197,0.5033259423503326,119.0,89.0,0.2809734513274336,-0.21726685543188679,0.2866817155756208,,0.0,0.0,0.2866817155756208,0.6991150442477876,0.01991150442477876,0.3008849557522124,0.9800884955752213,0.0,0.0,0.9601769911504425,0.3982300884955752,0.6792035398230089,443.0,136.0,0.9800884955752213,0.3008849557522124,127.0,316.0,9.0,316.0,0.01991150442477876,0.6991150442477876,9.0,0.0
deepfm_embed96,deepfm,45,6,512,0.001,0.0001,0.15,3,64,96,384x192x96,threshold,6,0.59,0.4626658198270664,0.7294386148452758,0.8418803418803419,0.68691366775384,0.9508057675996607,,0.703344120819849,0.703344120819849,0.24746164677981175,0.3371320037986705,0.44017094017094016,0.6628679962013295,0.5598290598290598,0.0,0.0,0.11965811965811968,0.32573599240265905,0.10303893637226968,1179.0,1396.0,0.5598290598290598,0.6628679962013295,1121.0,58.0,927.0,710.0,0.44017094017094016,0.3371320037986705,275.0,652.0,0.48337028824833705,-0.03215574468504376,0.4773662551440329,,0.49038461538461536,0.4773662551440329,0.01301836024058245,0.5077605321507761,0.4611973392461197,0.49223946784922396,0.5388026607538803,0.0,0.0,0.07760532150776056,0.015521064301552145,0.04656319290465638,243.0,222.0,0.5388026607538803,0.49223946784922396,116.0,127.0,208.0,229.0,0.4611973392461197,0.5077605321507761,106.0,102.0,0.3163716814159292,-0.2002434065937798,0.3227990970654628,,0.0,0.0,0.3227990970654628,0.6637168141592921,0.01991150442477876,0.336283185840708,0.9800884955752213,0.0,0.0,0.9601769911504425,0.3274336283185841,0.6438053097345133,443.0,152.0,0.9800884955752213,0.336283185840708,143.0,300.0,9.0,300.0,0.01991150442477876,0.6637168141592921,9.0,0.0
deepfm_xwide,deepfm,43,6,512,0.001,0.0001,0.15,3,64,32,640x320x160,threshold,4,0.76,0.4263588985540205,0.2612470597028732,0.8817663817663818,0.7644457734967275,0.9592875318066157,,0.7831715210355987,0.7831715210355987,0.17611601077101702,0.36752136752136755,0.44017094017094016,0.6324786324786325,0.5598290598290598,0.0,0.0,0.11965811965811968,0.2649572649572649,0.07264957264957261,1179.0,1332.0,0.5598290598290598,0.6324786324786325,1131.0,48.0,927.0,774.0,0.44017094017094016,0.36752136752136755,201.0,726.0,0.4523281596452328,-0.09376144618769909,0.4444444444444444,,0.46153846153846156,0.4444444444444444,0.017094017094017144,0.5121951219512195,0.4611973392461197,0.4878048780487805,0.5388026607538803,0.0,0.0,0.07760532150776056,0.024390243902439046,0.0509977827050998,243.0,220.0,0.5388026607538803,0.4878048780487805,108.0,135.0,208.0,231.0,0.4611973392461197,0.5121951219512195,112.0,96.0,0.3274336283185841,-0.19538021059994948,0.3340857787810384,,0.0,0.0,0.3340857787810384,0.6526548672566371,0.01991150442477876,0.3473451327433628,0.9800884955752213,0.0,0.0,0.9601769911504425,0.3053097345132743,0.6327433628318584,443.0,157.0,0.9800884955752213,0.3473451327433628,148.0,295.0,9.0,295.0,0.01991150442477876,0.6526548672566371,9.0,0.0
dcn_xwide,dcn,45,6,512,0.001,0.0001,0.15,3,64,32,640x320x160,threshold,5,0.74,0.39603176859274425,0.07370973825454712,0.9971509971509972,0.9942239478095214,0.9991518235793045,,0.9946062567421791,0.9946062567421791,0.004545566837125481,0.4382716049382716,0.44017094017094016,0.5617283950617284,0.5598290598290598,0.0,0.0,0.11965811965811968,0.12345679012345684,0.001899335232668553,1179.0,1183.0,0.5598290598290598,0.5617283950617284,1178.0,1.0,927.0,923.0,0.44017094017094016,0.4382716049382716,5.0,922.0,0.4057649667405765,-0.18818877506012632,0.4074074074074074,,0.40384615384615385,0.40384615384615385,0.00356125356125353,0.5055432372505543,0.4611973392461197,0.49445676274944567,0.5388026607538803,0.0,0.0,0.07760532150776056,0.011086474501108612,0.04434589800443456,243.0,223.0,0.5388026607538803,0.49445676274944567,99.0,144.0,208.0,228.0,0.4611973392461197,0.5055432372505543,124.0,84.0,0.41150442477876104,-0.1636321540971964,0.4198645598194131,,0.0,0.0,0.4198645598194131,0.5685840707964602,0.01991150442477876,0.4314159292035398,0.9800884955752213,0.0,0.0,0.9601769911504425,0.1371681415929204,0.5486725663716815,443.0,195.0,0.9800884955752213,0.4314159292035398,186.0,257.0,9.0,257.0,0.01991150442477876,0.5685840707964602,9.0,0.0
deepfm_xwide,deepfm,42,6,512,0.001,0.0001,0.15,3,64,32,640x320x160,threshold,6,0.71,0.4463413704131861,0.21860324442386628,0.9696106362773029,0.9385228653588152,0.9669211195928753,,0.9730312837108953,0.9669211195928753,0.006110164118020012,0.4468186134852801,0.44017094017094016,0.5531813865147198,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1063627730294397,0.0066476733143399636,1179.0,1165.0,0.5598290598290598,0.5531813865147198,1140.0,39.0,927.0,941.0,0.44017094017094016,0.4468186134852801,25.0,902.0,0.4523281596452328,-0.0951164130117322,0.45267489711934156,,0.4519230769230769,0.4519230769230769,0.0007518201962646298,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,110.0,133.0,208.0,227.0,0.4611973392461197,0.5033259423503326,114.0,94.0,0.46238938053097345,-0.14767231170722628,0.4717832957110609,,0.0,0.0,0.4717832957110609,0.5176991150442478,0.01991150442477876,0.4823008849557522,0.9800884955752213,0.0,0.0,0.9601769911504425,0.03539823008849563,0.4977876106194691,443.0,218.0,0.9800884955752213,0.4823008849557522,209.0,234.0,9.0,234.0,0.01991150442477876,0.5176991150442478,9.0,0.0
deepfm_wider_mlp,deepfm,45,6,512,0.001,0.0001,0.15,3,64,32,512x256x128,threshold,5,0.21,0.3934171855445568,0.31125250458717346,0.8827160493827161,0.7759676586012476,0.825275657336726,,0.9557713052858684,0.825275657336726,0.13049564794914237,0.5185185185185185,0.44017094017094016,0.48148148148148145,0.5598290598290598,0.0,0.0,0.11965811965811968,0.037037037037037035,0.07834757834757833,1179.0,1014.0,0.5598290598290598,0.48148148148148145,973.0,206.0,927.0,1092.0,0.44017094017094016,0.5185185185185185,41.0,886.0,0.4079822616407982,-0.18407846665812624,0.411522633744856,,0.40384615384615385,0.40384615384615385,0.0076764798987021265,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,100.0,143.0,208.0,227.0,0.4611973392461197,0.5033259423503326,124.0,84.0,0.4756637168141593,-0.14380129792890176,0.4853273137697517,,0.0,0.0,0.4853273137697517,0.504424778761062,0.01991150442477876,0.49557522123893805,0.9800884955752213,0.0,0.0,0.9601769911504425,0.008849557522123908,0.4845132743362832,443.0,224.0,0.9800884955752213,0.49557522123893805,215.0,228.0,9.0,228.0,0.01991150442477876,0.504424778761062,9.0,0.0
dcn_narrow,dcn,44,6,512,0.001,0.0001,0.15,3,64,32,256x128,threshold,2,0.48,0.5425416225348473,0.08183630108833313,0.9691358024691358,0.9373546848537405,0.9779474130619169,,0.9579288025889967,0.9579288025889967,0.020018610472920195,0.43399810066476735,0.44017094017094016,0.5660018993352327,0.5598290598290598,0.0,0.0,0.11965811965811968,0.13200379867046536,0.006172839506172811,1179.0,1192.0,0.5598290598290598,0.5660018993352327,1153.0,26.0,927.0,914.0,0.44017094017094016,0.43399810066476735,39.0,888.0,0.5476718403547672,0.0951164130117322,0.5473251028806584,,0.5480769230769231,0.5473251028806584,0.0007518201962647408,0.49667405764966743,0.4611973392461197,0.5033259423503326,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.03547671840354771,243.0,227.0,0.5388026607538803,0.5033259423503326,133.0,110.0,208.0,224.0,0.4611973392461197,0.49667405764966743,94.0,114.0,0.4823008849557522,-0.14190500785617594,0.49209932279909707,,0.0,0.0,0.49209932279909707,0.497787610619469,0.01991150442477876,0.5022123893805309,0.9800884955752213,0.0,0.0,0.9601769911504425,0.004424778761061898,0.4778761061946903,443.0,227.0,0.9800884955752213,0.5022123893805309,218.0,225.0,9.0,225.0,0.01991150442477876,0.497787610619469,9.0,0.0
dcn_deep_cross,dcn,45,6,512,0.001,0.0001,0.15,5,64,32,384x192x96,threshold,3,0.47,0.4596040428255876,0.09347733110189438,0.9871794871794872,0.9740083212936079,0.993214588634436,,0.9795037756202805,0.9795037756202805,0.013710813014155554,0.4349477682811016,0.44017094017094016,0.5650522317188984,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1301044634377968,0.005223171889838563,1179.0,1190.0,0.5598290598290598,0.5650522317188984,1171.0,8.0,927.0,916.0,0.44017094017094016,0.4349477682811016,19.0,908.0,0.4678492239467849,-0.06432362566888289,0.4691358024691358,,0.46634615384615385,0.46634615384615385,0.0027896486229819217,0.5011086474501109,0.4611973392461197,0.49889135254988914,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.039911308203991136,243.0,225.0,0.5388026607538803,0.49889135254988914,114.0,129.0,208.0,226.0,0.4611973392461197,0.5011086474501109,111.0,97.0,0.5243362831858407,-0.13043238880481742,0.5349887133182845,,0.0,0.0,0.5349887133182845,0.4557522123893805,0.01991150442477876,0.5442477876106194,0.9800884955752213,0.0,0.0,0.9601769911504425,0.08849557522123891,0.4358407079646018,443.0,246.0,0.9800884955752213,0.5442477876106194,237.0,206.0,9.0,206.0,0.01991150442477876,0.4557522123893805,9.0,0.0
deepfm_narrow,deepfm,42,6,512,0.001,0.0001,0.15,3,64,32,256x128,threshold,4,0.69,0.46629823967561096,0.2304139703512192,0.9188034188034188,0.8365828816066535,0.9643765903307888,,0.86084142394822,0.86084142394822,0.10353516638256877,0.39886039886039887,0.44017094017094016,0.6011396011396012,0.5598290598290598,0.0,0.0,0.11965811965811968,0.20227920227920232,0.04131054131054129,1179.0,1266.0,0.5598290598290598,0.6011396011396012,1137.0,42.0,927.0,840.0,0.44017094017094016,0.39886039886039887,129.0,798.0,0.4745011086474501,-0.05063538618853516,0.4732510288065844,,0.47596153846153844,0.4732510288065844,0.002710509654954063,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,115.0,128.0,208.0,227.0,0.4611973392461197,0.5033259423503326,109.0,99.0,0.5442477876106194,-0.12528019320382885,0.5553047404063205,,0.0,0.0,0.5553047404063205,0.4358407079646018,0.01991150442477876,0.5641592920353983,0.9800884955752213,0.0,0.0,0.9601769911504425,0.1283185840707965,0.41592920353982304,443.0,255.0,0.9800884955752213,0.5641592920353983,246.0,197.0,9.0,197.0,0.01991150442477876,0.4358407079646018,9.0,0.0
