run_id,seed,model_type,hidden_dims,dropout,cross_layers,cross_rank,embed_dim,learning_rate,weight_decay,class_weight_power,label_smoothing,batch_size,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_down_share,train_true_down_share,train_pred_sideways_share,train_true_sideways_share,train_true_balance_gap_ud,train_pred_balance_gap_ud,train_pred_target_gap,train_support_true_0,train_support_pred_0,train_share_true_0,train_share_pred_0,train_cm_00,train_cm_01,train_support_true_1,train_support_pred_1,train_share_true_1,train_share_pred_1,train_cm_10,train_cm_11,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_down_share,val_true_down_share,val_pred_sideways_share,val_true_sideways_share,val_true_balance_gap_ud,val_pred_balance_gap_ud,val_pred_target_gap,val_support_true_0,val_support_pred_0,val_share_true_0,val_share_pred_0,val_cm_00,val_cm_01,val_support_true_1,val_support_pred_1,val_share_true_1,val_share_pred_1,val_cm_10,val_cm_11,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_down_share,test_true_down_share,test_pred_sideways_share,test_true_sideways_share,test_true_balance_gap_ud,test_pred_balance_gap_ud,test_pred_target_gap,test_support_true_0,test_support_pred_0,test_share_true_0,test_share_pred_0,test_cm_00,test_cm_01,test_support_true_1,test_support_pred_1,test_share_true_1,test_share_pred_1,test_cm_10,test_cm_11
18,45,dcn,320x160,0.45,5,48,0,0.0003,0.0001,1.3,0.05,512,threshold,6,0.69,0.46992873983388883,0.17997981905937194,0.9905033238366572,0.9807697880472036,0.996607294317218,,0.982740021574973,0.982740021574973,0.013867272742244974,0.43447293447293445,0.44017094017094016,0.5655270655270656,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1310541310541311,0.005698005698005715,1179.0,1191.0,0.5598290598290598,0.5655270655270656,1175.0,4.0,927.0,915.0,0.44017094017094016,0.43447293447293445,16.0,911.0,0.4789356984478936,-0.04173918082389575,0.4773662551440329,,0.4807692307692308,0.4773662551440329,0.0034029756251978682,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,116.0,127.0,208.0,227.0,0.4611973392461197,0.5033259423503326,108.0,100.0,0.8628318584070797,-0.0046085970725013225,0.8781038374717833,,0.1111111111111111,0.1111111111111111,0.7669927263606722,0.12168141592920353,0.01991150442477876,0.8783185840707964,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7566371681415929,0.10176991150442477,443.0,397.0,0.9800884955752213,0.8783185840707964,389.0,54.0,9.0,55.0,0.01991150442477876,0.12168141592920353,8.0,1.0
8,45,dcn,320x160,0.55,5,48,0,0.001,0.0001,1.5,0.02,768,threshold,2,0.74,0.4199425303693597,0.1028050755461057,0.9558404558404558,0.9103568803576626,0.9626802374893978,,0.9471413160733549,0.9471413160733549,0.01553892141604285,0.43779677113010446,0.44017094017094016,0.5622032288698955,0.5598290598290598,0.0,0.0,0.11965811965811968,0.12440645773979103,0.0023741690408357052,1179.0,1184.0,0.5598290598290598,0.5622032288698955,1135.0,44.0,927.0,922.0,0.44017094017094016,0.43779677113010446,49.0,878.0,0.43902439024390244,-0.12249301300330043,0.4444444444444444,,0.4326923076923077,0.4326923076923077,0.01175213675213671,0.49889135254988914,0.4611973392461197,0.5011086474501109,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.037694013303769425,243.0,226.0,0.5388026607538803,0.5011086474501109,108.0,135.0,208.0,225.0,0.4611973392461197,0.49889135254988914,118.0,90.0,0.8650442477876106,-0.0036729700179586526,0.8803611738148984,,0.1111111111111111,0.1111111111111111,0.7692500627037873,0.11946902654867257,0.01991150442477876,0.8805309734513275,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7610619469026549,0.09955752212389381,443.0,398.0,0.9800884955752213,0.8805309734513275,390.0,53.0,9.0,54.0,0.01991150442477876,0.11946902654867257,8.0,1.0
53,44,dcn,320x160,0.6,6,64,0,0.001,0.0003,1.4,0.05,512,threshold,5,0.74,0.42636177808942033,0.1802454560995102,0.9857549857549858,0.9713158616363938,0.998303647158609,,0.9697950377562028,0.9697950377562028,0.028508609402406182,0.4278252611585945,0.44017094017094016,0.5721747388414055,0.5598290598290598,0.0,0.0,0.11965811965811968,0.14434947768281098,0.012345679012345678,1179.0,1205.0,0.5598290598290598,0.5721747388414055,1177.0,2.0,927.0,901.0,0.44017094017094016,0.4278252611585945,28.0,899.0,0.43237250554323725,-0.13480944326634206,0.43209876543209874,,0.4326923076923077,0.43209876543209874,0.0005935422602089679,0.5055432372505543,0.4611973392461197,0.49445676274944567,0.5388026607538803,0.0,0.0,0.07760532150776056,0.011086474501108612,0.04434589800443456,243.0,223.0,0.5388026607538803,0.49445676274944567,105.0,138.0,208.0,228.0,0.4611973392461197,0.5055432372505543,118.0,90.0,0.8805309734513275,0.0033288822962201717,0.8961625282167043,,0.1111111111111111,0.1111111111111111,0.7850514171055931,0.10398230088495575,0.01991150442477876,0.8960176991150443,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7920353982300885,0.08407079646017698,443.0,405.0,0.9800884955752213,0.8960176991150443,397.0,46.0,9.0,47.0,0.01991150442477876,0.10398230088495575,8.0,1.0
69,44,dcn,256x128,0.5,6,64,0,0.0008,5e-05,1.3,0.05,768,threshold,4,0.73,0.5316491622148803,0.16940015057722727,0.9795821462488129,0.9591300959060273,0.9991518235793045,,0.9546925566343042,0.9546925566343042,0.04445926694500035,0.42070275403608737,0.44017094017094016,0.5792972459639126,0.5598290598290598,0.0,0.0,0.11965811965811968,0.15859449192782527,0.019468186134852794,1179.0,1220.0,0.5598290598290598,0.5792972459639126,1178.0,1.0,927.0,886.0,0.44017094017094016,0.42070275403608737,42.0,885.0,0.541019955654102,0.0821156864948051,0.5390946502057613,,0.5432692307692307,0.5390946502057613,0.004174580563469421,0.49889135254988914,0.4611973392461197,0.5011086474501109,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.037694013303769425,243.0,226.0,0.5388026607538803,0.5011086474501109,131.0,112.0,208.0,225.0,0.4611973392461197,0.49889135254988914,95.0,113.0,0.8871681415929203,0.006619245508085688,0.9029345372460497,,0.1111111111111111,0.1111111111111111,0.7918234261349386,0.09734513274336283,0.01991150442477876,0.9026548672566371,0.9800884955752213,0.0,0.0,0.9601769911504425,0.8053097345132743,0.07743362831858407,443.0,408.0,0.9800884955752213,0.9026548672566371,400.0,43.0,9.0,44.0,0.01991150442477876,0.09734513274336283,8.0,1.0
36,44,dcn,320x160,0.55,6,64,0,0.001,5e-05,1.4,0.05,512,threshold,3,0.73,0.4463413704131861,0.17752340734004973,0.9700854700854701,0.9401703807762738,0.9957591178965225,,0.9374325782092773,0.9374325782092773,0.058326539687245216,0.41500474833808165,0.44017094017094016,0.5849952516619183,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1699905033238367,0.02516619183285851,1179.0,1232.0,0.5598290598290598,0.5849952516619183,1174.0,5.0,927.0,874.0,0.44017094017094016,0.41500474833808165,58.0,869.0,0.4523281596452328,-0.0951164130117322,0.45267489711934156,,0.4519230769230769,0.4519230769230769,0.0007518201962646298,0.5033259423503326,0.4611973392461197,0.49667405764966743,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.04212860310421285,243.0,224.0,0.5388026607538803,0.49667405764966743,110.0,133.0,208.0,227.0,0.4611973392461197,0.5033259423503326,114.0,94.0,0.9048672566371682,0.01656490448815065,0.9209932279909706,,0.1111111111111111,0.1111111111111111,0.8098821168798596,0.07964601769911504,0.01991150442477876,0.9203539823008849,0.9800884955752213,0.0,0.0,0.9601769911504425,0.8407079646017699,0.05973451327433628,443.0,416.0,0.9800884955752213,0.9203539823008849,408.0,35.0,9.0,36.0,0.01991150442477876,0.07964601769911504,8.0,1.0
6,44,dcn,384x192x96,0.5,3,64,0,0.0005,5e-05,1.5,0.08,512,threshold,7,0.54,0.5205617340102434,0.23864910900592803,0.9928774928774928,0.9856000184800005,0.989821882951654,,0.9967637540453075,0.989821882951654,0.006941871093653518,0.4444444444444444,0.44017094017094016,0.5555555555555556,0.5598290598290598,0.0,0.0,0.11965811965811968,0.11111111111111116,0.004273504273504258,1179.0,1170.0,0.5598290598290598,0.5555555555555556,1167.0,12.0,927.0,936.0,0.44017094017094016,0.4444444444444444,3.0,924.0,0.532150776053215,0.06363700087462971,0.5349794238683128,,0.5288461538461539,0.5288461538461539,0.00613327002215891,0.49445676274944567,0.4611973392461197,0.5055432372505543,0.5388026607538803,0.0,0.0,0.07760532150776056,0.011086474501108612,0.03325942350332595,243.0,228.0,0.5388026607538803,0.5055432372505543,130.0,113.0,208.0,223.0,0.4611973392461197,0.49445676274944567,98.0,110.0,0.9070796460176991,0.01795954789145214,0.9232505643340858,,0.1111111111111111,0.1111111111111111,0.8121394532229746,0.07743362831858407,0.01991150442477876,0.922566371681416,0.9800884955752213,0.0,0.0,0.9601769911504425,0.845132743362832,0.0575221238938053,443.0,417.0,0.9800884955752213,0.922566371681416,409.0,34.0,9.0,35.0,0.01991150442477876,0.07743362831858407,8.0,1.0
59,44,dcn,320x160,0.6,6,64,0,0.0003,0.0003,1.3,0.02,512,threshold,8,0.9,0.4082083174528974,0.14054392278194427,0.9810066476733144,0.9619425269394443,0.9991518235793045,,0.9579288025889967,0.9579288025889967,0.041223020990307835,0.42212725546058877,0.44017094017094016,0.5778727445394112,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1557454890788224,0.018043684710351393,1179.0,1217.0,0.5598290598290598,0.5778727445394112,1178.0,1.0,927.0,889.0,0.44017094017094016,0.42212725546058877,39.0,888.0,0.41685144124168516,-0.16561194885333885,0.4156378600823045,,0.4182692307692308,0.4156378600823045,0.00263137068692626,0.5077605321507761,0.4611973392461197,0.49223946784922396,0.5388026607538803,0.0,0.0,0.07760532150776056,0.015521064301552145,0.04656319290465638,243.0,222.0,0.5388026607538803,0.49223946784922396,101.0,142.0,208.0,229.0,0.4611973392461197,0.5077605321507761,121.0,87.0,0.915929203539823,0.023982866527240604,0.9322799097065463,,0.1111111111111111,0.1111111111111111,0.8211687985954352,0.06858407079646017,0.01991150442477876,0.9314159292035398,0.9800884955752213,0.0,0.0,0.9601769911504425,0.8628318584070795,0.04867256637168141,443.0,421.0,0.9800884955752213,0.9314159292035398,413.0,30.0,9.0,31.0,0.01991150442477876,0.06858407079646017,8.0,1.0
10,44,dcn,192x96,0.55,6,32,0,0.0003,0.0001,1.4,0.02,512,threshold,1,0.43,0.5171262017366355,0.187541264295578,0.811965811965812,0.6170556164657859,0.8770144189991518,,0.7292340884573895,0.7292340884573895,0.14778033054176232,0.3898385565052232,0.44017094017094016,0.6101614434947769,0.5598290598290598,0.0,0.0,0.11965811965811968,0.22032288698955366,0.05033238366571696,1179.0,1285.0,0.5598290598290598,0.6101614434947769,1034.0,145.0,927.0,821.0,0.44017094017094016,0.3898385565052232,251.0,676.0,0.5299334811529933,0.06022080011257266,0.5267489711934157,,0.5336538461538461,0.5267489711934157,0.006904874960430463,0.5011086474501109,0.4611973392461197,0.49889135254988914,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.039911308203991136,243.0,225.0,0.5388026607538803,0.49889135254988914,128.0,115.0,208.0,226.0,0.4611973392461197,0.5011086474501109,97.0,111.0,0.10398230088495575,-0.338129298712076,0.1038374717832957,,0.1111111111111111,0.1038374717832957,0.007273639327815398,0.8805309734513275,0.01991150442477876,0.11946902654867257,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7610619469026549,0.8606194690265487,443.0,54.0,0.9800884955752213,0.11946902654867257,46.0,397.0,9.0,398.0,0.01991150442477876,0.8805309734513275,8.0,1.0
30,44,dcn,320x160,0.5,4,64,0,0.0003,1e-05,1.3,0.05,768,threshold,7,0.3,0.5098661612652128,0.21690763036410013,0.9819563152896487,0.9641889057726754,0.9677692960135709,,1.0,0.9677692960135709,0.03223070398642913,0.45821462488129155,0.44017094017094016,0.5417853751187085,0.5598290598290598,0.0,0.0,0.11965811965811968,0.08357075023741695,0.018043684710351393,1179.0,1141.0,0.5598290598290598,0.5417853751187085,1141.0,38.0,927.0,965.0,0.44017094017094016,0.45821462488129155,0.0,927.0,0.5144124168514412,0.028739504017038443,0.51440329218107,,0.5144230769230769,0.51440329218107,1.978474200692304e-05,0.49889135254988914,0.4611973392461197,0.5011086474501109,0.5388026607538803,0.0,0.0,0.07760532150776056,0.0022172949002217113,0.037694013303769425,243.0,226.0,0.5388026607538803,0.5011086474501109,125.0,118.0,208.0,225.0,0.4611973392461197,0.49889135254988914,101.0,107.0,0.07964601769911504,-0.2946222486794804,0.0744920993227991,,0.3333333333333333,0.0744920993227991,0.2588412340105342,0.9137168141592921,0.01991150442477876,0.08628318584070796,0.9800884955752213,0.0,0.0,0.9601769911504425,0.8274336283185841,0.8938053097345133,443.0,39.0,0.9800884955752213,0.08628318584070796,33.0,410.0,9.0,413.0,0.01991150442477876,0.9137168141592921,6.0,3.0
54,45,dcn,256x128,0.6,3,64,0,0.0003,0.0001,1.4,0.05,768,threshold,1,0.32,0.5606941233262371,0.32279430826505023,0.751661918328585,0.526765152538048,0.6675148430873622,,0.8586839266450917,0.6675148430873622,0.19116908355772955,0.5641025641025641,0.44017094017094016,0.4358974358974359,0.5598290598290598,0.0,0.0,0.11965811965811968,0.1282051282051282,0.12393162393162394,1179.0,918.0,0.5598290598290598,0.4358974358974359,787.0,392.0,927.0,1188.0,0.44017094017094016,0.5641025641025641,131.0,796.0,0.5698447893569845,0.13959743983492923,0.5679012345679012,,0.5721153846153846,0.5679012345679012,0.004214150047483378,0.49667405764966743,0.4611973392461197,0.5033259423503326,0.5388026607538803,0.0,0.0,0.07760532150776056,0.006651884700665134,0.03547671840354771,243.0,227.0,0.5388026607538803,0.5033259423503326,138.0,105.0,208.0,224.0,0.4611973392461197,0.49667405764966743,89.0,119.0,0.09513274336283185,-0.3953190248981595,0.09706546275395034,,0.0,0.0,0.09706546275395034,0.8849557522123894,0.01991150442477876,0.11504424778761062,0.9800884955752213,0.0,0.0,0.9601769911504425,0.7699115044247788,0.8650442477876107,443.0,52.0,0.9800884955752213,0.11504424778761062,43.0,400.0,9.0,400.0,0.01991150442477876,0.8849557522123894,9.0,0.0
