run_id,seed,hidden_dims,dropout,cross_layers,cross_rank,learning_rate,weight_decay,class_weight_power,label_smoothing,batch_size,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_target_gap,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_target_gap,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_target_gap
9,42,640x320x160,0.35,3,96,0.001,0.0005,1.0,0.02,768,4,0.0,0.5289866442260709,0.5961937308311462,0.534850640113798,0.4225474816737279,0.9672977624784854,0.0,0.8614916286149162,0.8614916286149162,0.10580613386356919,0.48316737790422,0.31152204836415365,0.17164532954006634,0.44026548672566373,0.04829621706921123,0.5337423312883436,0.0,0.5333333333333333,0.5333333333333333,0.0004089979550102596,0.5066371681415929,0.4646017699115044,0.04203539823008845,0.4579646017699115,0.012126913695831075,0.5157894736842106,0.0,0.4977168949771689,0.4977168949771689,0.018072578707041653,0.48451327433628316,0.48451327433628316,0.0
8,42,256x128,0.25,2,96,0.002,1e-05,1.4,0.0,512,2,0.0,0.4756709298627969,0.37119861841201784,0.5315315315315315,0.4148329858925629,0.8795180722891566,0.0,0.928462709284627,0.8795180722891566,0.04894463699547047,0.5637743006164059,0.31152204836415365,0.25225225225225223,0.4446902654867257,0.06772345855456902,0.5828220858895705,0.0,0.5047619047619047,0.5047619047619047,0.07806018112766577,0.4469026548672566,0.4646017699115044,0.017699115044247815,0.43805309734513276,-0.025664733533719133,0.5,0.0,0.4703196347031963,0.4703196347031963,0.02968036529680368,0.4911504424778761,0.48451327433628316,0.006637168141592931
14,42,256x128,0.15,2,64,0.0005,0.0005,1.0,0.0,512,4,0.0,0.5477232748792008,0.681160843372345,0.5097202465623518,0.3781811202008842,0.9053356282271945,0.0,0.8356164383561644,0.8356164383561644,0.0697191898710301,0.48885727833096254,0.31152204836415365,0.1773352299668089,0.4911504424778761,0.13366802229092264,0.5705521472392638,0.0,0.6142857142857143,0.5705521472392638,0.04373356704645048,0.5398230088495575,0.4646017699115044,0.07522123893805305,0.5243362831858407,0.12202065764496438,0.4473684210526316,0.0,0.6940639269406392,0.4473684210526316,0.24669550588800765,0.6349557522123894,0.48451327433628316,0.15044247787610626
15,42,384x192x96,0.35,3,32,0.002,0.0005,1.2,0.05,512,1,0.0,0.48367446658341934,0.6079030156135559,0.4604077761972499,0.28977868751966857,0.7814113597246127,0.0,0.786910197869102,0.7814113597246127,0.00549883814448926,0.5372214319582741,0.31152204836415365,0.22569938359412045,0.42920353982300885,0.03597614891981873,0.5460122699386503,0.0,0.5,0.5,0.04601226993865026,0.4668141592920354,0.4646017699115044,0.002212389380530977,0.49557522123893805,0.06709925201961238,0.42105263157894735,0.0,0.6575342465753424,0.42105263157894735,0.23648161499639508,0.6283185840707964,0.48451327433628316,0.14380530973451328
13,42,512x256x128,0.35,2,96,0.001,1e-05,1.0,0.0,768,1,0.0,0.4795619559512821,0.6227337121963501,0.4191559981033665,0.22700129821692153,0.4991394148020654,0.0,0.9041095890410958,0.4991394148020654,0.4049701742390304,0.7093409198672357,0.31152204836415365,0.39781887150308204,0.45132743362831856,0.06448609428709694,0.50920245398773,0.0,0.5761904761904761,0.50920245398773,0.06698802220274613,0.5265486725663717,0.4646017699115044,0.0619469026548673,0.44026548672566373,-0.01379666521721825,0.5684210526315789,0.0,0.4155251141552511,0.4155251141552511,0.15289593847632782,0.4247787610619469,0.48451327433628316,0.059734513274336265
5,42,256x128,0.25,5,32,0.0005,0.0005,1.0,0.05,384,4,0.0,0.4668913440831026,0.7291866540908813,0.5248933143669986,0.4035000497929784,0.9087779690189329,0.0,0.8812785388127854,0.8812785388127854,0.027499430206147535,0.5064011379800853,0.31152204836415365,0.1948790896159317,0.44026548672566373,0.042644743827936156,0.49693251533742333,0.0,0.5619047619047619,0.49693251533742333,0.06497224656733858,0.5376106194690266,0.4646017699115044,0.07300884955752213,0.4446902654867257,-0.002035899947476138,0.5894736842105263,0.0,0.4063926940639269,0.4063926940639269,0.18308099014659934,0.39601769911504425,0.48451327433628316,0.08849557522123891
2,42,384x192x96,0.35,3,96,0.002,0.0005,1.2,0.0,384,1,0.0,0.13948341386611648,0.34107446670532227,0.49407302038880985,0.3496761117877999,0.8141135972461274,0.0,0.8660578386605784,0.8141135972461274,0.051944241414450976,0.5068752963489805,0.31152204836415365,0.1953532479848269,0.3938053097345133,0.008386943751966875,0.7055214723926381,0.0,0.3,0.3,0.4055214723926381,0.27876106194690264,0.4646017699115044,0.18584070796460178,0.37168141592920356,-0.14776179150035834,0.4421052631578947,0.0,0.3835616438356164,0.3835616438356164,0.058543619322278306,0.48008849557522126,0.48451327433628316,0.004424778761061898
6,42,512x256x128,0.15,2,64,0.002,0.0001,1.2,0.0,768,4,0.0,0.492796258521868,0.38774560888608295,0.5623518255097203,0.46820601743342793,0.9621342512908778,0.0,0.954337899543379,0.954337899543379,0.00779635174749882,0.5301090564248458,0.31152204836415365,0.2185870080606922,0.46238938053097345,0.09250433951506032,0.6073619631901841,0.0,0.5238095238095238,0.5238095238095238,0.08355243938066026,0.4823008849557522,0.4646017699115044,0.01769911504424776,0.4026548672566372,-0.08447238223662161,0.5210526315789473,0.0,0.3789954337899543,0.3789954337899543,0.142057197788993,0.4247787610619469,0.48451327433628316,0.059734513274336265
11,42,640x320x160,0.1,2,96,0.001,1e-05,1.2,0.0,768,4,0.0,0.3352303134185972,0.43014557162920636,0.555239449976292,0.4561348360488792,0.9707401032702238,0.0,0.923896499238965,0.923896499238965,0.046843604031258756,0.5139876718824087,0.31152204836415365,0.20246562351825503,0.44026548672566373,0.07596846878920312,0.6687116564417178,0.0,0.42857142857142855,0.42857142857142855,0.24014022787028927,0.37168141592920356,0.4646017699115044,0.09292035398230086,0.49557522123893805,0.10921222433842272,0.7473684210526316,0.0,0.3744292237442922,0.3744292237442922,0.37293919730833935,0.3185840707964602,0.48451327433628316,0.165929203539823
1,42,512x256x128,0.15,2,64,0.002,0.0005,1.2,0.05,768,4,0.0,0.48593835558002985,0.49528442819913227,0.561877667140825,0.4675470673171884,0.963855421686747,0.0,0.9512937595129376,0.9512937595129376,0.012561662173809385,0.5196775723091512,0.31152204836415365,0.2081555239449976,0.45132743362831856,0.0718364936005537,0.588957055214724,0.0,0.5142857142857142,0.5142857142857142,0.07467134092900973,0.48672566371681414,0.4646017699115044,0.022123893805309713,0.40707964601769914,-0.07468420172668025,0.5421052631578948,0.0,0.3698630136986301,0.3698630136986301,0.17224224945926464,0.4092920353982301,0.48451327433628316,0.07522123893805305
