horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,201,50.0,geo,0.15,True,9,0.01,2.0,0.5,500,0.8,0.8,0.3352070428717749,0.32596338789729246,0.029154447244558634,0.3910891089108911,0.25,0.25,0.1410891089108911,0.25,0.1410891089108911
1,201,50.0,geo,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.3401656668129867,0.33010425842439917,0.03250770135633858,0.41089108910891087,0.25,0.25,0.16089108910891087,0.25,0.16089108910891087
1,201,50.0,helio,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.30585361491814206,0.27335565503269404,-0.048628026414263184,0.5148514851485149,0.25,0.25,0.26485148514851486,0.25,0.26485148514851486
1,101,100.0,geo,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.358997576233582,0.32626404982285906,0.05404765091973997,0.24623115577889448,0.3673469387755102,0.24623115577889448,0.12111578299661574,0.24623115577889448,0.12111578299661574
1,201,50.0,both,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.3620405143962672,0.23007882469875995,0.05208491021540762,0.23267326732673269,0.75,0.23267326732673269,0.5173267326732673,0.23267326732673269,0.5173267326732673
1,201,50.0,geo,0.15,True,3,0.05,2.0,1.0,500,0.8,0.8,0.36333233077002286,0.3132914634599675,0.05382611868321449,0.22772277227722773,0.4583333333333333,0.22772277227722773,0.23061056105610558,0.22772277227722773,0.23061056105610558
1,201,50.0,both,0.15,True,5,0.01,2.0,1.0,500,0.8,0.8,0.32453922732174695,0.23711703949865123,-0.00774815167955485,0.22772277227722773,0.5833333333333334,0.22772277227722773,0.35561056105610567,0.22772277227722773,0.35561056105610567
1,101,100.0,both,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.3746379149772423,0.36828999779819455,0.056084193940141566,0.3969849246231156,0.22448979591836735,0.22448979591836735,0.17249512870474823,0.22448979591836735,0.17249512870474823
1,101,50.0,geo,0.15,True,3,0.05,2.0,1.0,500,0.8,0.8,0.30562496288665647,0.2829366774437676,-0.011964777070937311,0.22388059701492538,0.2978723404255319,0.22388059701492538,0.07399174341060652,0.22388059701492538,0.07399174341060652
1,201,100.0,geo,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.3677233419134794,0.3475260941977263,0.03921657079738579,0.2621359223300971,0.2222222222222222,0.2222222222222222,0.03991370010787487,0.2222222222222222,0.03991370010787487
