run_id,seed,model_type,hidden_dims,dropout,cross_layers,cross_rank,embed_dim,learning_rate,weight_decay,class_weight_power,label_smoothing,batch_size,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_target_gap,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_target_gap,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_target_gap
5,42,dcn,512x256x128,0.25,2,32,0,0.0005,0.0005,1.4,0.05,768,threshold,1,0.6,0.3213688242651657,0.26591724157333374,0.8209876543209876,0.6366131897313992,0.897370653095844,,0.7238403451995685,0.7238403451995685,0.17353030789627544,0.37606837606837606,0.44017094017094016,0.0641025641025641,0.36807095343680707,-0.25992057255755785,0.345679012345679,,0.3942307692307692,0.345679012345679,0.048551756885090225,0.5343680709534369,0.4611973392461197,0.07317073170731714,0.5752212389380531,0.006312915140930466,0.5778781038374717,,0.4444444444444444,0.4444444444444444,0.13343365939302732,0.4225663716814159,0.01991150442477876,0.4026548672566372
10,42,dcn,512x256x128,0.15,2,96,0,0.0005,0.0001,1.4,0.02,384,threshold,2,0.65,0.21731367379233235,0.09994148338834445,0.9691358024691358,0.9381512227072375,0.9940627650551315,,0.9374325782092773,0.9374325782092773,0.05663018684585419,0.41595441595441596,0.44017094017094016,0.024216524216524205,0.31929046563192903,-0.35512073719721826,0.2674897119341564,,0.3798076923076923,0.2674897119341564,0.11231798037353591,0.5698447893569845,0.4611973392461197,0.10864745011086474,0.8628318584070797,-0.0046085970725013225,0.8781038374717833,,0.1111111111111111,0.1111111111111111,0.7669927263606722,0.12168141592920353,0.01991150442477876,0.10176991150442477
1,42,dcn,512x256x128,0.25,3,96,0,0.001,0.0001,1.4,0.05,384,threshold,3,0.65,0.3870794601739724,0.17228997250398,0.99002849002849,0.9798349214949215,0.9974554707379135,,0.9805825242718447,0.9805825242718447,0.01687294646606885,0.43304843304843305,0.44017094017094016,0.007122507122507116,0.42572062084257206,-0.14522744672789248,0.4074074074074074,,0.44711538461538464,0.4074074074074074,0.03970797720797725,0.5254988913525499,0.4611973392461197,0.06430155210643018,0.8252212389380531,-0.01876613805795157,0.8397291196388262,,0.1111111111111111,0.1111111111111111,0.7286180085277152,0.1592920353982301,0.01991150442477876,0.13938053097345132
17,42,deepfm,384x192x96,0.35,0,0,16,0.0005,0.0001,1.2,0.05,384,threshold,4,0.65,0.34434992514260804,0.4909200568993886,0.8727445394112061,0.7420801157484229,0.926208651399491,,0.8047464940668824,0.8047464940668824,0.12146215733260868,0.39553656220322886,0.44017094017094016,0.0446343779677113,0.35920177383592017,-0.2800142725260067,0.35390946502057613,,0.36538461538461536,0.35390946502057613,0.011475150364039233,0.516629711751663,0.4611973392461197,0.055432372505543226,0.7632743362831859,-0.037816694437558154,0.7765237020316027,,0.1111111111111111,0.1111111111111111,0.6654125909204915,0.22123893805309736,0.01991150442477876,0.2013274336283186
4,42,dcn,512x256x128,0.35,3,32,0,0.001,0.0001,1.4,0.02,768,threshold,1,0.55,0.3908883037694013,0.15279793739318848,0.8570750237416904,0.7153451852730252,0.8354537743850721,,0.8845738942826321,0.8354537743850721,0.049120119897560044,0.48148148148148145,0.44017094017094016,0.04131054131054129,0.4212860310421286,-0.1547622565570695,0.4074074074074074,,0.4375,0.4074074074074074,0.030092592592592615,0.5210643015521065,0.4611973392461197,0.05986696230598676,0.07079646017699115,-0.36181939336324875,0.06772009029345373,,0.2222222222222222,0.06772009029345373,0.1545021319287685,0.918141592920354,0.01991150442477876,0.8982300884955753
14,42,dcn,384x192x96,0.35,3,96,0,0.0005,0.0001,1.0,0.05,512,threshold,1,0.45,0.4061876978035515,0.19482634961605072,0.915954415954416,0.8324839913466573,0.8965224766751484,,0.9406688241639698,0.8965224766751484,0.0441463474888214,0.47198480531813863,0.44017094017094016,0.03181386514719847,0.4124168514412417,-0.1745090291312252,0.411522633744856,,0.41346153846153844,0.411522633744856,0.0019389047166824547,0.5077605321507761,0.4611973392461197,0.04656319290465638,0.8517699115044248,-0.054687148313151294,0.8690744920993227,,0.0,0.0,0.8690744920993227,0.12831858407079647,0.01991150442477876,0.1084070796460177
8,42,dcn,256x128,0.1,5,96,0,0.0005,0.0001,1.2,0.02,512,threshold,2,0.5,0.5009768178975497,0.09193841069936752,0.9772079772079773,0.9539924440859033,0.9720101781170484,,0.9838187702265372,0.9720101781170484,0.011808592109488814,0.44871794871794873,0.44017094017094016,0.008547008547008572,0.5077605321507761,0.01574064804776711,0.5061728395061729,,0.5096153846153846,0.5061728395061729,0.0034425451092117143,0.5011086474501109,0.4611973392461197,0.039911308203991136,0.8097345132743363,-0.06458759603884286,0.8261851015801355,,0.0,0.0,0.8261851015801355,0.17035398230088494,0.01991150442477876,0.15044247787610618
23,42,deepfm,640x320x160,0.25,0,0,64,0.0005,1e-05,1.2,0.05,768,threshold,2,0.55,0.33652151728879365,0.4166388114293416,0.8537511870845205,0.7036278354576229,0.8651399491094147,,0.8392664509169363,0.8392664509169363,0.025873498192478417,0.44491927825261157,0.44017094017094016,0.0047483380816714105,0.36807095343680707,-0.26553554518703987,0.38271604938271603,,0.35096153846153844,0.35096153846153844,0.03175451092117759,0.49445676274944567,0.4611973392461197,0.03325942350332595,0.7898230088495575,-0.06909204934709322,0.8058690744920993,,0.0,0.0,0.8058690744920993,0.1902654867256637,0.01991150442477876,0.17035398230088494
24,42,dcn,512x256x128,0.25,5,96,0,0.002,1e-05,1.2,0.05,384,threshold,3,0.55,0.43107831362404536,0.22316331416368484,0.9781576448243114,0.9556833777079289,0.9855810008481765,,0.9687162891046386,0.9687162891046386,0.016864711743537875,0.43447293447293445,0.44017094017094016,0.005698005698005715,0.44124168514412415,-0.11769980814664954,0.4444444444444444,,0.4375,0.4375,0.00694444444444442,0.5011086474501109,0.4611973392461197,0.039911308203991136,0.7323008849557522,-0.08180671326292535,0.7471783295711061,,0.0,0.0,0.7471783295711061,0.24778761061946902,0.01991150442477876,0.22787610619469026
11,42,dcn,640x320x160,0.35,5,96,0,0.001,0.0001,1.2,0.0,384,threshold,2,0.65,0.305253342524684,0.05020748544484377,0.9686609686609686,0.937219172675197,0.9940627650551315,,0.9363538295577131,0.9363538295577131,0.0577089354974184,0.4154795821462488,0.44017094017094016,0.024691358024691357,0.5299334811529933,0.08217231290941178,0.411522633744856,,0.6682692307692307,0.411522633744856,0.25674659702437475,0.6252771618625277,0.4611973392461197,0.16407982261640797,0.6902654867256637,-0.09105473258237123,0.7042889390519187,,0.0,0.0,0.7042889390519187,0.28982300884955753,0.01991150442477876,0.2699115044247788
