coord_mode,gauss_window,gauss_std,orb_mult,exclude_bodies,n_features,recall_min,recall_gap,recall_down,recall_up,balanced_accuracy,mcc,f1_macro,threshold
both,300,90.0,0.25,Venus,718,0.5675675675675675,0.0237367802585194,0.591304347826087,0.5675675675675675,0.5794359576968273,0.1589030392876535,0.5794401676754618,0.4999999999999999
geo,200,90.0,0.25,Neptune,672,0.5644444444444444,0.0170533529123837,0.5814977973568282,0.5644444444444444,0.5729711209006363,0.1459636771016454,0.5729565936782538,0.5199999999999999
both,200,50.0,0.1,Venus,716,0.5644444444444444,0.0258639255996084,0.5644444444444444,0.5903083700440529,0.5773764072442487,0.1548058652357359,0.577332256248317,0.5099999999999999
geo,150,70.0,0.1,Moon,642,0.5594713656387665,0.0049730788056778,0.5644444444444444,0.5594713656387665,0.5619579050416055,0.1239158100832109,0.5619469026548672,0.4999999999999999
both,300,90.0,0.05,"Pluto,Venus",624,0.5495495495495496,0.0156678417547981,0.5652173913043478,0.5495495495495496,0.5573834704269487,0.1147669408538973,0.5573834704269487,0.4999999999999999
both,300,90.0,0.25,Neptune,732,0.5478260869565217,0.0422640031335683,0.5478260869565217,0.5900900900900901,0.5689580885233059,0.1380040454326781,0.5685312734054895,0.4999999999999999
geo,200,70.0,0.25,Pluto,674,0.5466666666666666,0.0083994126284875,0.5466666666666666,0.5550660792951542,0.5508663729809105,0.1017357338392892,0.5508651704642796,0.4999999999999999
geo,200,70.0,0.15,"MeanNode,Saturn",567,0.5466666666666666,0.0172099853157122,0.5466666666666666,0.5638766519823789,0.5552716593245228,0.1105595547244285,0.5552553125871968,0.5099999999999999
both,200,70.0,0.05,"MeanNode,Venus",604,0.5466666666666666,0.0260205580029369,0.5466666666666666,0.5726872246696035,0.5596769456681351,0.1193948069935534,0.5596288952534821,0.4999999999999999
both,200,50.0,0.1,Neptune,732,0.5466666666666666,0.0128046989720999,0.5466666666666666,0.5594713656387665,0.5530690161527165,0.1061463456095878,0.553062343358396,0.4999999999999999
both,200,50.0,0.05,"Pluto,Venus",624,0.5466666666666666,0.0436417033773862,0.5466666666666666,0.5903083700440529,0.5684875183553597,0.1371079811461088,0.5683284112781182,0.5099999999999999
both,200,50.0,0.15,Neptune,732,0.5462555066079295,0.0226333822809593,0.5688888888888889,0.5462555066079295,0.5575721977484092,0.1151714580497502,0.5574874686716792,0.4999999999999999
geo,200,50.0,0.05,MeanNode,648,0.5418502202643172,0.080372001957905,0.6222222222222222,0.5418502202643172,0.5820362212432697,0.164593716000602,0.5812660833762223,0.5199999999999999
geo,200,90.0,0.15,Saturn,666,0.5418502202643172,0.0181497797356828,0.5418502202643172,0.56,0.5509251101321586,0.101865179538873,0.5508651704642796,0.4999999999999999
both,75,70.0,0.1,Jupiter,714,0.5411255411255411,0.0109106579694815,0.5411255411255411,0.5520361990950227,0.5465808701102819,0.0931425849329714,0.5464401967742725,0.4999999999999999
both,75,90.0,0.1,Jupiter,714,0.5411255411255411,0.0109106579694815,0.5411255411255411,0.5520361990950227,0.5465808701102819,0.0931425849329714,0.5464401967742725,0.4999999999999999
geo,150,90.0,0.1,Neptune,672,0.5398230088495575,0.0088495575221239,0.5398230088495575,0.5486725663716814,0.5442477876106194,0.0884990406755985,0.544238864415076,0.4999999999999999
geo,150,90.0,0.1,Jupiter,654,0.5398230088495575,0.0398230088495575,0.5398230088495575,0.5796460176991151,0.5597345132743363,0.1195638706656234,0.5595598928622143,0.4999999999999999
geo,150,70.0,0.1,Neptune,672,0.5377777777777778,0.0349094468918257,0.5377777777777778,0.5726872246696035,0.5552325012236907,0.1105331937336616,0.5551333591221361,0.4999999999999999
geo,200,90.0,0.25,"MeanNode,Saturn",567,0.5377777777777778,0.0437200195790503,0.5814977973568282,0.5377777777777778,0.559637787567303,0.1193913409294018,0.5594736094581821,0.4999999999999999
both,200,70.0,0.05,Saturn,714,0.5377777777777778,0.0216935878609887,0.5377777777777778,0.5594713656387665,0.5486245717082722,0.0972720000226338,0.5485930248497073,0.5099999999999999
both,200,70.0,0.15,Neptune,732,0.5374449339207048,0.0581106216348507,0.5955555555555555,0.5374449339207048,0.5665002447381302,0.1332197685337851,0.5660658307210031,0.4999999999999999
both,200,70.0,0.1,Neptune,732,0.5374449339207048,0.0581106216348507,0.5955555555555555,0.5374449339207048,0.5665002447381302,0.1332197685337851,0.5660658307210031,0.4999999999999999
both,200,50.0,0.15,"MeanNode,Saturn",622,0.5374449339207048,0.0136661771904063,0.5511111111111111,0.5374449339207048,0.544278022515908,0.0885629812197317,0.544238864415076,0.5099999999999999
both,300,50.0,0.25,Jupiter,716,0.5353982300884956,0.0353982300884955,0.5353982300884956,0.5707964601769911,0.5530973451327434,0.1062612856723709,0.5529573051312182,0.4999999999999999
both,150,50.0,0.15,"Pluto,Saturn",628,0.5353982300884956,0.0132743362831857,0.5353982300884956,0.5486725663716814,0.5420353982300885,0.0840782044128061,0.5420152230842654,0.4999999999999999
both,300,50.0,0.1,Saturn,724,0.5353982300884956,0.0176991150442477,0.5530973451327433,0.5353982300884956,0.5442477876106195,0.0885094394818944,0.5442120927318296,0.5099999999999999
geo,200,70.0,0.05,Neptune,662,0.5333333333333333,0.0085168869309838,0.5333333333333333,0.5418502202643172,0.5375917767988252,0.075185761728805,0.5375902493942584,0.5099999999999999
geo,75,70.0,0.05,"Pluto,Saturn",567,0.5324675324675324,0.0467179878944585,0.5324675324675324,0.579185520361991,0.5558265264147617,0.1117351591256999,0.5552553125871968,0.5099999999999999
both,300,70.0,0.25,Neptune,732,0.5315315315315315,0.0249902075989032,0.5565217391304348,0.5315315315315315,0.5440266353309832,0.0880705207886205,0.5440246028481323,0.4999999999999999
geo,300,90.0,0.05,none,757,0.5315315315315315,0.0206423815119467,0.5521739130434783,0.5315315315315315,0.5418527222875049,0.0837128226459713,0.5418537579019014,0.5199999999999999
