horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,101,50.0,geo,0.15,True,3,0.01,2.0,0.3,500,0.8,0.8,0.3593010556971241,0.3391493291324896,0.06472820529296959,0.4925373134328358,0.0,0.0,0.4925373134328358,0.0,0.4925373134328358
1,101,50.0,geo,0.15,True,3,0.01,2.0,0.5,500,0.8,0.8,0.3331715406706306,0.21864619933567575,-0.0012850007082670317,0.9751243781094527,0.0,0.0,0.9751243781094527,0.0,0.9751243781094527
1,101,50.0,geo,0.15,True,3,0.01,2.0,1.0,500,0.8,0.8,0.32898111070662944,0.26841758332303384,-0.01461595410471427,0.8308457711442786,0.0,0.0,0.8308457711442786,0.0,0.8308457711442786
1,101,50.0,geo,0.15,True,3,0.03,2.0,0.3,500,0.8,0.8,0.3257695263519799,0.30448356318943137,-0.019117174232760208,0.5870646766169154,0.0,0.0,0.5870646766169154,0.0,0.5870646766169154
1,101,50.0,geo,0.15,True,3,0.03,2.0,0.5,500,0.8,0.8,0.33100351899041375,0.3056055056055056,-0.005990223907274024,0.6417910447761194,0.0,0.0,0.6417910447761194,0.0,0.6417910447761194
1,101,50.0,geo,0.15,True,3,0.03,2.0,1.0,500,0.8,0.8,0.3660175166375354,0.28935319338463356,0.0269363263653509,0.17412935323383086,0.5531914893617021,0.17412935323383086,0.3790621361278713,0.17412935323383086,0.3790621361278713
1,101,50.0,geo,0.15,True,3,0.05,2.0,0.3,500,0.8,0.8,0.32414351009181736,0.3027564474726783,-0.023274677798502105,0.5870646766169154,0.0,0.0,0.5870646766169154,0.0,0.5870646766169154
1,101,50.0,geo,0.15,True,3,0.05,2.0,0.5,500,0.8,0.8,0.33100351899041375,0.3056055056055056,-0.005990223907274024,0.6417910447761194,0.0,0.0,0.6417910447761194,0.0,0.6417910447761194
1,101,50.0,geo,0.15,True,3,0.05,2.0,1.0,500,0.8,0.8,0.30562496288665647,0.2829366774437676,-0.011964777070937311,0.22388059701492538,0.2978723404255319,0.22388059701492538,0.07399174341060652,0.22388059701492538,0.07399174341060652
1,101,50.0,geo,0.15,True,5,0.01,2.0,0.3,500,0.8,0.8,0.3281535584488903,0.315151403475759,-0.0064195593910498176,0.36318407960199006,0.02127659574468085,0.02127659574468085,0.34190748385730924,0.02127659574468085,0.34190748385730924
1,101,50.0,geo,0.15,True,5,0.01,2.0,0.5,500,0.8,0.8,0.3380812595042431,0.3254055039183525,0.024061107376562158,0.5970149253731343,0.14893617021276595,0.14893617021276595,0.4480787551603683,0.14893617021276595,0.4480787551603683
