model,model_type,seed,epochs,batch_size,lr,weight_decay,dropout,cross_layers,cross_rank,embed_dim,hidden_dims,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_target_gap,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_target_gap,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_target_gap
deepfm_embed64,deepfm,42,3,512,0.001,0.0001,0.15,3,64,64,384x192x96,threshold,3,0.65,0.006866981257225173,2.873518967628479,0.6951566951566952,0.4537679297451064,0.5343511450381679,,0.8996763754045307,0.5343511450381679,0.3653252303663628,0.6566951566951567,0.44017094017094016,0.2165242165242165,0.43015521064301554,-0.11691592606711051,0.205761316872428,,0.6923076923076923,0.205761316872428,0.4865463754352643,0.7472283813747228,0.4611973392461197,0.2860310421286031,0.24778761061946902,-0.20247391080791083,0.2505643340857788,,0.1111111111111111,0.1111111111111111,0.13945322297466767,0.7367256637168141,0.01991150442477876,0.7168141592920354
dcn_wider_mlp,dcn,42,3,512,0.001,0.0001,0.15,3,64,32,512x256x128,threshold,3,0.65,0.4101886003562833,0.12537819892168045,0.9881291547958214,0.9759975750669874,0.996607294317218,,0.9773462783171522,0.9773462783171522,0.0192610160000658,0.43209876543209874,0.44017094017094016,0.00807217473884142,0.43458980044345896,-0.12869841211883915,0.42386831275720166,,0.44711538461538464,0.42386831275720166,0.023247071858182977,0.516629711751663,0.4611973392461197,0.055432372505543226,0.9712389380530974,-0.013468225532724143,0.9909706546275395,,0.0,0.0,0.9909706546275395,0.008849557522123894,0.01991150442477876,0.011061946902654867
deepfm_base,deepfm,42,3,512,0.001,0.0001,0.15,3,64,32,384x192x96,threshold,3,0.5,0.41787030719957546,0.7941799998283386,0.7549857549857549,0.5457695590275741,0.9881255301102629,,0.45846817691477887,0.45846817691477887,0.529657353195484,0.20845204178537513,0.44017094017094016,0.23171889838556503,0.43458980044345896,-0.12935606927747373,0.4279835390946502,,0.4423076923076923,0.4279835390946502,0.01432415321304209,0.5121951219512195,0.4611973392461197,0.0509977827050998,0.9402654867256637,-0.02902757657483569,0.9593679458239278,,0.0,0.0,0.9593679458239278,0.03982300884955752,0.01991150442477876,0.01991150442477876
dcn_high_dropout,dcn,42,3,512,0.001,0.0001,0.3,3,64,32,384x192x96,threshold,2,0.65,0.4237756315500218,0.14872038066387178,0.9615384615384616,0.921930441869168,0.9728583545377438,,0.9471413160733549,0.9471413160733549,0.025717038464388886,0.43209876543209874,0.44017094017094016,0.00807217473884142,0.45454545454545453,-0.08831274415061623,0.4403292181069959,,0.47115384615384615,0.4403292181069959,0.030824628046850266,0.5188470066518847,0.4611973392461197,0.05764966740576494,0.8694690265486725,-0.05026797231638165,0.8871331828442438,,0.0,0.0,0.8871331828442438,0.11061946902654868,0.01991150442477876,0.09070796460176991
dcn_base,dcn,42,3,512,0.001,0.0001,0.15,3,64,32,384x192x96,threshold,2,0.6,0.42620391471170604,0.13101129829883576,0.9696106362773029,0.9384824801899968,0.9847328244274809,,0.9503775620280475,0.9503775620280475,0.03435526239943343,0.42687559354226023,0.44017094017094016,0.013295346628679927,0.4501108647450111,-0.10130045948325135,0.4609053497942387,,0.4375,0.4375,0.023405349794238695,0.49223946784922396,0.4611973392461197,0.031042128603104235,0.8584070796460177,-0.053052454671817545,0.8758465011286681,,0.0,0.0,0.8758465011286681,0.12168141592920353,0.01991150442477876,0.10176991150442477
dcn_deep_cross,dcn,42,3,512,0.001,0.0001,0.15,5,64,32,384x192x96,threshold,1,0.65,0.3851110187238236,0.14534296095371246,0.9050332383665717,0.8075474797846347,0.9440203562340967,,0.8554476806903991,0.8554476806903991,0.08857267554369763,0.40788224121557454,0.44017094017094016,0.032288698955365625,0.4190687361419069,-0.15890002502484993,0.40329218106995884,,0.4375,0.40329218106995884,0.034207818930041156,0.5232815964523282,0.4611973392461197,0.06208425720620847,0.6504424778761062,-0.09995193624009079,0.6636568848758465,,0.0,0.0,0.6636568848758465,0.32964601769911506,0.01991150442477876,0.3097345132743363
deepfm_high_dropout,deepfm,42,3,512,0.001,0.0001,0.3,3,64,32,384x192x96,threshold,3,0.6,0.3462543469403226,0.6572965502738952,0.8005698005698005,0.5940105590327597,0.8770144189991518,,0.703344120819849,0.703344120819849,0.1736702981793028,0.37844254510921177,0.44017094017094016,0.06172839506172839,0.35698447893569846,-0.28477087687796204,0.35390946502057613,,0.3605769230769231,0.35390946502057613,0.006667458056346942,0.5144124168514412,0.4611973392461197,0.053215077605321515,0.5530973451327433,-0.12304052174890648,0.5643340857787811,,0.0,0.0,0.5643340857787811,0.4269911504424779,0.01991150442477876,0.40707964601769914
deepfm_wider_mlp,deepfm,42,3,512,0.001,0.0001,0.15,3,64,32,512x256x128,threshold,3,0.35,0.3058133516212785,0.9626591086387635,0.7991452991452992,0.5924086325780428,0.8210347752332485,,0.7713052858683926,0.7713052858683926,0.04972948936485588,0.439696106362773,0.44017094017094016,0.00047483380816715215,0.34146341463414637,-0.31393534211694774,0.32510288065843623,,0.3605769230769231,0.32510288065843623,0.03547404241848684,0.5299334811529933,0.4611973392461197,0.0687361419068736,0.2079646017699115,-0.26236958764612583,0.21218961625282168,,0.0,0.0,0.21218961625282168,0.7721238938053098,0.01991150442477876,0.752212389380531
