horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,201,50.0,helio,0.1,True,9,0.03,2.0,500,0.8,0.8,0.3743517208863743,0.3018963968436716,0.0598503244656622,0.4801980198019802,0.5,0.4801980198019802,0.01980198019801982,0.4801980198019802,0.01980198019801982
1,201,50.0,helio,0.15,True,9,0.03,2.0,500,0.8,0.8,0.3743517208863743,0.3018963968436716,0.0598503244656622,0.4801980198019802,0.5,0.4801980198019802,0.01980198019801982,0.4801980198019802,0.01980198019801982
1,201,50.0,helio,0.25,True,9,0.03,2.0,500,0.8,0.8,0.3743517208863743,0.3018963968436716,0.0598503244656622,0.4801980198019802,0.5,0.4801980198019802,0.01980198019801982,0.4801980198019802,0.01980198019801982
1,201,50.0,helio,0.5,True,9,0.03,2.0,500,0.8,0.8,0.3743517208863743,0.3018963968436716,0.0598503244656622,0.4801980198019802,0.5,0.4801980198019802,0.01980198019801982,0.4801980198019802,0.01980198019801982
1,201,100.0,helio,0.1,True,9,0.03,2.0,500,0.8,0.8,0.377649253598499,0.32405982714463316,0.06367587999847507,0.48058252427184467,0.4444444444444444,0.4444444444444444,0.03613807982740025,0.4444444444444444,0.03613807982740025
1,201,100.0,helio,0.15,True,9,0.03,2.0,500,0.8,0.8,0.377649253598499,0.32405982714463316,0.06367587999847507,0.48058252427184467,0.4444444444444444,0.4444444444444444,0.03613807982740025,0.4444444444444444,0.03613807982740025
1,201,100.0,helio,0.25,True,9,0.03,2.0,500,0.8,0.8,0.377649253598499,0.32405982714463316,0.06367587999847507,0.48058252427184467,0.4444444444444444,0.4444444444444444,0.03613807982740025,0.4444444444444444,0.03613807982740025
1,201,100.0,helio,0.5,True,9,0.03,2.0,500,0.8,0.8,0.377649253598499,0.32405982714463316,0.06367587999847507,0.48058252427184467,0.4444444444444444,0.4444444444444444,0.03613807982740025,0.4444444444444444,0.03613807982740025
1,201,50.0,helio,0.1,True,5,0.05,2.0,500,0.8,0.8,0.3333401074097557,0.28357397420128044,0.02910484462968611,0.4207920792079208,0.4166666666666667,0.4166666666666667,0.004125412541254092,0.4166666666666667,0.004125412541254092
1,201,50.0,helio,0.15,True,5,0.05,2.0,500,0.8,0.8,0.3333401074097557,0.28357397420128044,0.02910484462968611,0.4207920792079208,0.4166666666666667,0.4166666666666667,0.004125412541254092,0.4166666666666667,0.004125412541254092
1,201,50.0,helio,0.25,True,5,0.05,2.0,500,0.8,0.8,0.3333401074097557,0.28357397420128044,0.02910484462968611,0.4207920792079208,0.4166666666666667,0.4166666666666667,0.004125412541254092,0.4166666666666667,0.004125412541254092
1,201,50.0,helio,0.5,True,5,0.05,2.0,500,0.8,0.8,0.3333401074097557,0.28357397420128044,0.02910484462968611,0.4207920792079208,0.4166666666666667,0.4166666666666667,0.004125412541254092,0.4166666666666667,0.004125412541254092
1,201,100.0,helio,0.1,True,9,0.05,2.7,500,0.8,0.8,0.391216565022198,0.2947208240189732,0.07300349335835055,0.4029126213592233,0.6222222222222222,0.4029126213592233,0.21930960086299894,0.4029126213592233,0.21930960086299894
1,201,100.0,helio,0.15,True,9,0.05,2.7,500,0.8,0.8,0.391216565022198,0.2947208240189732,0.07300349335835055,0.4029126213592233,0.6222222222222222,0.4029126213592233,0.21930960086299894,0.4029126213592233,0.21930960086299894
1,201,100.0,helio,0.25,True,9,0.05,2.7,500,0.8,0.8,0.391216565022198,0.2947208240189732,0.07300349335835055,0.4029126213592233,0.6222222222222222,0.4029126213592233,0.21930960086299894,0.4029126213592233,0.21930960086299894
1,201,100.0,helio,0.5,True,9,0.05,2.7,500,0.8,0.8,0.391216565022198,0.2947208240189732,0.07300349335835055,0.4029126213592233,0.6222222222222222,0.4029126213592233,0.21930960086299894,0.4029126213592233,0.21930960086299894
1,201,100.0,helio,0.1,True,9,0.01,2.0,500,0.8,0.8,0.39202331236359883,0.2872277888230766,0.06164075465187537,0.4029126213592233,0.6444444444444445,0.4029126213592233,0.2415318230852212,0.4029126213592233,0.2415318230852212
1,201,100.0,helio,0.15,True,9,0.01,2.0,500,0.8,0.8,0.39202331236359883,0.2872277888230766,0.06164075465187537,0.4029126213592233,0.6444444444444445,0.4029126213592233,0.2415318230852212,0.4029126213592233,0.2415318230852212
1,201,100.0,helio,0.25,True,9,0.01,2.0,500,0.8,0.8,0.39202331236359883,0.2872277888230766,0.06164075465187537,0.4029126213592233,0.6444444444444445,0.4029126213592233,0.2415318230852212,0.4029126213592233,0.2415318230852212
1,201,100.0,helio,0.5,True,9,0.01,2.0,500,0.8,0.8,0.39202331236359883,0.2872277888230766,0.06164075465187537,0.4029126213592233,0.6444444444444445,0.4029126213592233,0.2415318230852212,0.4029126213592233,0.2415318230852212
1,201,50.0,both,0.25,True,3,0.05,2.0,500,0.8,0.8,0.3566317530767855,0.3112468029834358,0.03198155979319182,0.37623762376237624,0.4375,0.37623762376237624,0.06126237623762376,0.37623762376237624,0.06126237623762376
1,201,50.0,helio,0.1,True,9,0.05,3.5,500,0.8,0.8,0.33588478921783804,0.24129305054155037,0.019653545440911805,0.36633663366336633,0.5625,0.36633663366336633,0.19616336633663367,0.36633663366336633,0.19616336633663367
1,201,50.0,helio,0.15,True,9,0.05,3.5,500,0.8,0.8,0.33588478921783804,0.24129305054155037,0.019653545440911805,0.36633663366336633,0.5625,0.36633663366336633,0.19616336633663367,0.36633663366336633,0.19616336633663367
