coord_mode,gauss_window,gauss_std,orb_mult,exclude_bodies,n_features,recall_min,recall_gap,recall_down,recall_up,balanced_accuracy,mcc,f1_macro,threshold
geo,75,50.0,0.05,MeanNode,648,0.24347826086956523,0.5583235409322366,0.24347826086956523,0.8018018018018018,0.5226400313356835,0.05453509735612527,0.4798014993136944,0.48999999999999994
geo,75,50.0,0.05,"MeanNode,Pluto",567,0.49130434782608695,0.0627497062279671,0.49130434782608695,0.5540540540540541,0.5226792009400705,0.04543856406676838,0.5218898748310512,0.4799999999999999
geo,75,50.0,0.05,"MeanNode,Saturn",555,0.1981981981981982,0.5452800626713671,0.7434782608695653,0.1981981981981982,0.4708382295338817,-0.06951090811932205,0.4307214029493822,0.49999999999999994
geo,75,50.0,0.05,"MeanNode,Venus",549,0.46956521739130436,0.057461809635722616,0.46956521739130436,0.527027027027027,0.49829612220916564,-0.00341287271130962,0.49758842050111884,0.49999999999999994
geo,75,50.0,0.05,"Pluto,Saturn",567,0.4391304347826087,0.16447316882099494,0.4391304347826087,0.6036036036036037,0.5213670191931061,0.04331173334991967,0.5173387791255567,0.48999999999999994
geo,75,50.0,0.05,"Pluto,Venus",569,0.35585585585585583,0.33979631805718763,0.6956521739130435,0.35585585585585583,0.5257540148844496,0.05477733442589487,0.5131256226516236,0.48999999999999994
geo,75,50.0,0.1,none,767,0.4782608695652174,0.05327066196631414,0.4782608695652174,0.5315315315315315,0.5048962005483745,0.009804698285296126,0.5042694868781825,0.5099999999999999
geo,75,50.0,0.1,Sun,658,0.36036036036036034,0.3222483352918135,0.6826086956521739,0.36036036036036034,0.5214845280062671,0.04539571997968341,0.510119722747322,0.48999999999999994
geo,75,50.0,0.1,Moon,642,0.18695652173913044,0.5968272620446533,0.18695652173913044,0.7837837837837838,0.4853701527614571,-0.036478409566722526,0.43241264701324655,0.48999999999999994
geo,75,50.0,0.1,Mercury,656,0.17117117117117117,0.6201331766549157,0.7913043478260869,0.17117117117117117,0.48123775949862907,-0.04779311432237399,0.4287457508934019,0.49999999999999994
geo,75,50.0,0.1,Venus,656,0.44594594594594594,0.06709753231492366,0.5130434782608696,0.44594594594594594,0.47949471210340777,-0.041094767071366944,0.47916819895755186,0.49999999999999994
geo,75,50.0,0.1,Mars,642,0.481981981981982,0.05714845280062669,0.5391304347826087,0.481981981981982,0.5105562083822953,0.021144119441332015,0.5103693355880695,0.49999999999999994
geo,75,50.0,0.1,Jupiter,654,0.481981981981982,0.052800626713670196,0.5347826086956522,0.481981981981982,0.5083822953388171,0.01678564346442697,0.50823335685721,0.49999999999999994
geo,75,50.0,0.1,Saturn,664,0.47391304347826085,0.10716803760282018,0.47391304347826085,0.581081081081081,0.527497062279671,0.055298201815362116,0.5256198995605775,0.4799999999999999
geo,75,50.0,0.1,Uranus,672,0.27391304347826084,0.41978065021543287,0.27391304347826084,0.6936936936936937,0.4838033685859773,-0.035694962986018576,0.4581248118843197,0.48999999999999994
geo,75,50.0,0.1,Neptune,672,0.5180180180180181,0.03415589502546024,0.5521739130434783,0.5180180180180181,0.5350959655307481,0.07022494702336975,0.5350705329153604,0.49999999999999994
geo,75,50.0,0.1,Pluto,674,0.3739130434782609,0.18464551508029764,0.3739130434782609,0.5585585585585585,0.46623580101840967,-0.06871484060208508,0.4607906930888297,0.48999999999999994
geo,75,50.0,0.1,MeanNode,658,0.38288288288288286,0.21711711711711712,0.6,0.38288288288288286,0.4914414414414414,-0.017531458472289048,0.48629990818630736,0.4799999999999999
geo,75,50.0,0.1,"MeanNode,Pluto",573,0.509009009009009,0.06490403446925186,0.5739130434782609,0.509009009009009,0.541461026243635,0.0830922845177496,0.5412247539753754,0.49999999999999994
geo,75,50.0,0.1,"MeanNode,Saturn",565,0.22972972972972974,0.5528789659224442,0.782608695652174,0.22972972972972974,0.5061692126909518,0.014807641762462943,0.46770540809855965,0.5199999999999999
geo,75,50.0,0.1,"MeanNode,Venus",557,0.4594594594594595,0.09271445358401881,0.5521739130434783,0.4594594594594595,0.5058166862514689,0.011682092281689555,0.505123257675067,0.49999999999999994
geo,75,50.0,0.1,"Pluto,Saturn",573,0.47297297297297297,0.07920094007050532,0.5521739130434783,0.47297297297297297,0.5125734430082256,0.02522307538315718,0.5121185359631046,0.49999999999999994
geo,75,50.0,0.1,"Pluto,Venus",573,0.40540540540540543,0.20329024676850765,0.6086956521739131,0.40540540540540543,0.5070505287896593,0.014400294921060007,0.5027650591663197,0.48999999999999994
