exclude_bodies,n_excluded,n_features,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
NONE,0,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Sun,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Moon,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Mercury,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Venus,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Mars,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Jupiter,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Saturn,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Uranus,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Neptune,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Pluto,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
Node,1,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Moon",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Mercury",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Venus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Mars",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Jupiter",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Saturn",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Sun,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Mercury",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Venus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Mars",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Jupiter",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Saturn",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Moon,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Venus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Mars",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Jupiter",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Saturn",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mercury,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Venus,Mars",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
