run_id,seed,model_type,hidden_dims,dropout,cross_layers,cross_rank,embed_dim,learning_rate,weight_decay,class_weight_power,label_smoothing,batch_size,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_target_gap,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_target_gap,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_target_gap
1,42,dcn,512x256x128,0.25,3,96,0,0.001,0.0001,1.4,0.05,384,threshold,4,0.65,0.8786129943904333,0.15810701499382654,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.9445676274944568,0.892362382463242,0.9094650205761317,,0.9855769230769231,0.9094650205761317,0.07611190250079147,0.5033259423503326,0.4611973392461197,0.04212860310421285,1.0,1.0,1.0,,1.0,1.0,0.0,0.01991150442477876,0.01991150442477876,0.0
8,42,dcn,256x128,0.1,5,96,0,0.0005,0.0001,1.2,0.02,512,threshold,4,0.45,0.8665462670798038,0.0798265814781189,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.8691796008869179,0.7374116630552374,0.8683127572016461,,0.8701923076923077,0.8683127572016461,0.0018795504906615745,0.4722838137472284,0.4611973392461197,0.011086474501108667,0.9513274336283186,0.5252663657324547,0.9503386004514672,,1.0,0.9503386004514672,0.04966139954853277,0.06858407079646017,0.01991150442477876,0.04867256637168141
14,42,dcn,384x192x96,0.35,3,96,0,0.0005,0.0001,1.0,0.05,512,threshold,4,0.5,0.8383982272871161,0.16144756376743316,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.8580931263858093,0.7144666033554923,0.8683127572016461,,0.8461538461538461,0.8461538461538461,0.02215891104779999,0.4611973392461197,0.4611973392461197,0.0,0.9402654867256637,0.48452345627840654,0.9390519187358917,,1.0,0.9390519187358917,0.060948081264108334,0.07964601769911504,0.01991150442477876,0.05973451327433628
20,42,dcn,384x192x96,0.35,5,96,0,0.002,0.0001,1.4,0.02,512,threshold,3,0.5,0.9545495014245015,0.15043501406908036,0.99002849002849,0.9799750007511744,0.9830364715860899,,0.9989212513484358,0.9830364715860899,0.015884779762345924,0.4491927825261159,0.44017094017094016,0.009021842355175724,0.9600886917960089,0.9196937321937322,0.9629629629629629,,0.9567307692307693,0.9567307692307693,0.006232193732193636,0.4611973392461197,0.4611973392461197,0.0,0.8982300884955752,0.3829422637220285,0.8961625282167043,,1.0,0.8961625282167043,0.10383747178329572,0.12168141592920353,0.01991150442477876,0.10176991150442477
3,42,deepfm,256x128,0.15,0,0,16,0.001,0.0005,1.4,0.02,384,threshold,4,0.65,0.40213894337369943,0.13157924637198448,0.9957264957264957,0.9913282976063367,0.996607294317218,,0.9946062567421791,0.9946062567421791,0.0020010375750388887,0.439696106362773,0.44017094017094016,0.00047483380816715215,0.6496674057649667,0.3317932189131251,0.5185185185185185,,0.8028846153846154,0.5185185185185185,0.28436609686609693,0.6297117516629712,0.4611973392461197,0.1685144124168515,0.7809734513274337,0.25438220948532064,0.7765237020316027,,1.0,0.7765237020316027,0.2234762979683973,0.23893805309734514,0.01991150442477876,0.21902654867256638
18,42,dcn,256x128,0.1,5,64,0,0.001,0.0001,1.0,0.05,768,threshold,4,0.6,0.7625551362594046,0.1636886646350225,0.9995251661918328,0.9990368901672698,1.0,,0.9989212513484358,0.9989212513484358,0.0010787486515642097,0.439696106362773,0.44017094017094016,0.00047483380816715215,0.8292682926829268,0.6626242944700123,0.7942386831275721,,0.8701923076923077,0.7942386831275721,0.07595362456473564,0.5121951219512195,0.4611973392461197,0.0509977827050998,0.7654867256637168,0.2439975254448321,0.7607223476297968,,1.0,0.7607223476297968,0.23927765237020315,0.25442477876106195,0.01991150442477876,0.2345132743362832
21,42,dcn,512x256x128,0.15,2,64,0,0.0005,1e-05,1.2,0.05,384,threshold,3,0.65,0.41641402296890095,0.14985079814990362,0.9985754985754985,0.9971127803822081,1.0,,0.9967637540453075,0.9967637540453075,0.003236245954692518,0.43874643874643876,0.44017094017094016,0.001424501424501401,0.49889135254988914,0.004872544551705718,0.4567901234567901,,0.5480769230769231,0.4567901234567901,0.09128679962013303,0.5454545454545454,0.4611973392461197,0.0842572062084257,0.7522123893805309,0.2357440299436005,0.7471783295711061,,1.0,0.7471783295711061,0.2528216704288939,0.2676991150442478,0.01991150442477876,0.24778761061946905
22,42,dcn,640x320x160,0.25,2,96,0,0.001,1e-05,1.2,0.05,512,threshold,4,0.4,0.9574625239259384,0.15568546652793885,0.9990503323836657,0.9980753712152771,0.998303647158609,,1.0,0.998303647158609,0.0016963528413910245,0.44112060778727447,0.44017094017094016,0.0009496676163343043,0.9600886917960089,0.9197858691143764,0.9588477366255144,,0.9615384615384616,0.9588477366255144,0.0026907249129471955,0.4656319290465632,0.4611973392461197,0.004434589800443478,0.7057522123893806,0.2105988844266963,0.6997742663656885,,1.0,0.6997742663656885,0.3002257336343115,0.3141592920353982,0.01991150442477876,0.2942477876106195
11,42,dcn,640x320x160,0.35,5,96,0,0.001,0.0001,1.2,0.0,384,threshold,4,0.65,0.7169130327666914,0.0009141562404693104,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.8913525498891353,0.8038274520324312,0.7983539094650206,,1.0,0.7983539094650206,0.2016460905349794,0.5698447893569845,0.4611973392461197,0.10864745011086474,0.9756637168141593,0.4092502062819186,0.9864559819413092,,0.4444444444444444,0.4444444444444444,0.5420115374968648,0.022123893805309734,0.01991150442477876,0.0022123893805309734
10,42,dcn,512x256x128,0.15,2,96,0,0.0005,0.0001,1.4,0.02,384,threshold,4,0.65,0.7088227249389173,0.08174481987953186,1.0,1.0,1.0,,1.0,1.0,0.0,0.44017094017094016,0.44017094017094016,0.0,0.7516629711751663,0.49999023454485514,0.7736625514403292,,0.7259615384615384,0.7259615384615384,0.04770101297879081,0.4567627494456763,0.4611973392461197,0.0044345898004434225,0.9535398230088495,0.2773795322619079,0.963882618510158,,0.4444444444444444,0.4444444444444444,0.5194381740657136,0.04424778761061947,0.01991150442477876,0.024336283185840708
6,42,deepfm,640x320x160,0.15,0,0,16,0.002,0.0005,1.2,0.0,512,threshold,4,0.65,0.1418410180605303,1.0567272305488586,0.8566001899335233,0.7353523366189114,0.7709923664122137,,0.9654800431499461,0.7709923664122137,0.19448767673773237,0.5531813865147198,0.44017094017094016,0.11301044634377966,0.5055432372505543,0.04768761135413007,0.31275720164609055,,0.7307692307692307,0.31275720164609055,0.41801202912314017,0.7073170731707317,0.4611973392461197,0.24611973392461195,0.38716814159292035,0.07685443542051286,0.37697516930022573,,0.8888888888888888,0.37697516930022573,0.5119137195886632,0.6283185840707964,0.01991150442477876,0.6084070796460177
4,42,dcn,512x256x128,0.35,3,32,0,0.001,0.0001,1.4,0.02,768,threshold,2,0.65,0.08965339369302787,0.09846923251946767,0.9772079772079773,0.9538248364554222,0.9881255301102629,,0.9633225458468176,0.9633225458468176,0.024802984263445294,0.43067426400759734,0.44017094017094016,0.009496676163342821,0.458980044345898,-0.054189996663971986,0.26337448559670784,,0.6875,0.26337448559670784,0.42412551440329216,0.7139689578713969,0.4611973392461197,0.2527716186252772,0.9026548672566371,0.12041516789383311,0.9142212189616253,,0.3333333333333333,0.3333333333333333,0.580887885628292,0.09070796460176991,0.01991150442477876,0.07079646017699115
15,42,deepfm,384x192x96,0.15,0,0,64,0.001,0.0001,1.2,0.05,512,threshold,4,0.65,-0.015217844486137187,0.8779440522193909,0.9316239316239316,0.8679693573471015,0.8914334181509754,,0.982740021574973,0.8914334181509754,0.09130660342399755,0.49335232668566004,0.44017094017094016,0.053181386514719875,0.5631929046563193,0.2349047809704921,0.2551440329218107,,0.9230769230769231,0.2551440329218107,0.6679328901551125,0.8270509977827051,0.4611973392461197,0.36585365853658536,0.2809734513274336,0.08472023696886515,0.26636568848758463,,1.0,0.26636568848758463,0.7336343115124153,0.7389380530973452,0.01991150442477876,0.7190265486725664
5,42,dcn,512x256x128,0.25,2,32,0,0.0005,0.0005,1.4,0.05,768,threshold,1,0.65,0.29616320332783747,0.21511176228523254,0.8433048433048433,0.6810548506394922,0.8787107718405428,,0.7982740021574973,0.7982740021574973,0.08043676968304547,0.41927825261158597,0.44017094017094016,0.020892687559354195,0.3348115299334812,-0.327047901783142,0.3168724279835391,,0.3557692307692308,0.3168724279835391,0.038896802785691686,0.532150776053215,0.4611973392461197,0.07095343680709532,0.26548672566371684,0.010538633641039567,0.255079006772009,,0.7777777777777778,0.255079006772009,0.5226987710057688,0.745575221238938,0.01991150442477876,0.7256637168141593
23,42,deepfm,640x320x160,0.25,0,0,64,0.0005,1e-05,1.2,0.05,768,threshold,2,0.35,0.3957192903077049,0.34587521354357403,0.9102564102564102,0.8243898792376352,0.9864291772688719,,0.8133764832793959,0.8133764832793959,0.17305269398947598,0.36562203228869894,0.44017094017094016,0.07454890788224122,0.47671840354767187,-0.053636144037619786,0.5185185185185185,,0.42788461538461536,0.42788461538461536,0.09063390313390313,0.4567627494456763,0.4611973392461197,0.0044345898004434225,0.8473451327433629,-0.01079579425355636,0.8623024830699775,,0.1111111111111111,0.1111111111111111,0.7511913719588663,0.13716814159292035,0.01991150442477876,0.11725663716814158
17,42,deepfm,384x192x96,0.35,0,0,16,0.0005,0.0001,1.2,0.05,384,threshold,1,0.65,0.3355320323308128,0.3186793029308319,0.8072174738841406,0.6100628651867416,0.9033078880407125,,0.6850053937432579,0.6850053937432579,0.21830249429745463,0.35565052231718897,0.44017094017094016,0.0845204178537512,0.4678492239467849,-0.0532135194290056,0.3991769547325103,,0.5480769230769231,0.3991769547325103,0.14889996834441283,0.5764966740576497,0.4611973392461197,0.11529933481152999,0.7345132743362832,-0.04571789850403357,0.7471783295711061,,0.1111111111111111,0.1111111111111111,0.6360672184599949,0.25,0.01991150442477876,0.23008849557522124
19,42,dcn,384x192x96,0.35,5,64,0,0.0005,0.0001,1.2,0.02,768,threshold,1,0.65,0.5082234007962327,0.09416673580805461,0.9477682811016145,0.8942430502052416,0.9711620016963528,,0.918015102481122,0.918015102481122,0.05314689921523086,0.4202279202279202,0.44017094017094016,0.019943019943019946,0.5188470066518847,0.03694733497773759,0.522633744855967,,0.5144230769230769,0.5144230769230769,0.008210667932890159,0.49445676274944567,0.4611973392461197,0.03325942350332595,0.8738938053097345,-0.04913029001133975,0.891647855530474,,0.0,0.0,0.891647855530474,0.10619469026548672,0.01991150442477876,0.08628318584070796
13,42,dcn,384x192x96,0.35,2,96,0,0.0005,0.0001,1.4,0.05,384,threshold,4,0.45,0.7649089392991832,0.16492806871732077,0.9985754985754985,0.9971147739579485,0.9974554707379135,,1.0,0.9974554707379135,0.0025445292620864812,0.4415954415954416,0.44017094017094016,0.0014245014245014564,0.7738359201773836,0.5460694202546948,0.7777777777777778,,0.7692307692307693,0.7692307692307693,0.008547008547008517,0.4745011086474501,0.4611973392461197,0.013303769401330379,0.754424778761062,-0.07694589496113828,0.7697516930022573,,0.0,0.0,0.7697516930022573,0.22566371681415928,0.01991150442477876,0.20575221238938052
16,42,deepfm,512x256x128,0.25,0,0,32,0.0005,0.0005,1.2,0.0,768,threshold,2,0.35,0.3083340483916365,0.24597622454166412,0.9131054131054132,0.8238820158851093,0.9482612383375743,,0.8683926645091694,0.8683926645091694,0.07986857382840484,0.41120607787274455,0.44017094017094016,0.028964862298195615,0.42572062084257206,-0.15925916670869378,0.48559670781893005,,0.3557692307692308,0.3557692307692308,0.12982747704969927,0.44124168514412415,0.4611973392461197,0.019955654101995568,0.754424778761062,-0.07694589496113828,0.7697516930022573,,0.0,0.0,0.7697516930022573,0.22566371681415928,0.01991150442477876,0.20575221238938052
