exclude_bodies,n_excluded,n_features,bal_acc,recall_down,recall_up,up_down_min,up_down_gap
NONE,0,834,0.3376172592628721,0.6089108910891089,0.0,0.0,0.6089108910891089
"Moon,Jupiter",2,591,0.363889837259588,0.6089108910891089,0.0,0.0,0.6089108910891089
"Venus,Uranus",2,624,0.34747760490334745,0.6138613861386139,0.0,0.0,0.6138613861386139
Venus,1,716,0.33599148092149117,0.6188118811881188,0.0,0.0,0.6188118811881188
"Sun,Moon",2,597,0.35241184216943866,0.6188118811881188,0.0,0.0,0.6188118811881188
"Uranus,Neptune",2,630,0.34913589881155604,0.6237623762376238,0.0,0.0,0.6237623762376238
Sun,1,720,0.35739485278577116,0.6534653465346535,0.0,0.0,0.6534653465346535
"Mercury,Uranus",2,624,0.3803833585328977,0.6534653465346535,0.0,0.0,0.6534653465346535
"Moon,Neptune",2,607,0.34920905883691816,0.6683168316831684,0.0,0.0,0.6683168316831684
"Jupiter,Neptune",2,618,0.33771480596335496,0.6683168316831684,0.0,0.0,0.6683168316831684
"Mars,Neptune",2,608,0.36892162122616207,0.6732673267326733,0.0,0.0,0.6732673267326733
"Jupiter,Pluto",2,620,0.3525093888699215,0.6782178217821783,0.0,0.0,0.6782178217821783
Neptune,1,730,0.3492334455120389,0.6831683168316832,0.0,0.0,0.6831683168316832
"Sun,Mars",2,598,0.34759140938724414,0.6831683168316832,0.0,0.0,0.6831683168316832
"Uranus,Node",2,514,0.35580971890292473,0.6881188118811881,0.0,0.0,0.6881188118811881
"Venus,Node",2,506,0.3180510169243525,0.693069306930693,0.0,0.0,0.693069306930693
"Mars,Saturn",2,602,0.347607667170658,0.693069306930693,0.0,0.0,0.693069306930693
"Sun,Neptune",2,626,0.3558259766863386,0.698019801980198,0.0,0.0,0.698019801980198
"Moon,Node",2,491,0.372246337934286,0.698019801980198,0.0,0.0,0.698019801980198
Uranus,1,732,0.3640524150937261,0.7079207920792079,0.0,0.0,0.7079207920792079
"Sun,Uranus",2,628,0.3673527451267294,0.7178217821782178,0.0,0.0,0.7178217821782178
"Saturn,Node",2,514,0.3394462598969257,0.7227722772277227,0.0,0.0,0.7227722772277227
"Moon,Mars",2,579,0.33947064657204634,0.7376237623762376,0.0,0.0,0.7376237623762376
"Sun,Jupiter",2,610,0.3427628477133428,0.7425742574257426,0.0,0.0,0.7425742574257426
"Saturn,Uranus",2,628,0.36581638459412447,0.7821782178217822,0.0,0.0,0.7821782178217822
Node,1,604,0.3576305906452714,0.7970297029702971,0.0,0.0,0.7970297029702971
