split,acc,mcc,recall_down,recall_up,recall_min,recall_gap,true_down_share,true_up_share,pred_down_share,pred_up_share,pred_target_gap,true_balance_gap_ud,pred_balance_gap_ud
train,0.9972,0.9942,0.9983,0.9957,0.9957,0.0026,0.5598,0.4402,0.5608,0.4392,0.0009,0.1197,0.1216
val,0.4789,-0.0417,0.4774,0.4808,0.4774,0.0034,0.5388,0.4612,0.4967,0.5033,0.0421,0.0776,0.0067
test,0.8894,0.2434,0.8939,0.6667,0.6667,0.2272,0.9801,0.0199,0.8827,0.1173,0.0973,0.9602,0.7655
