split,acc,mcc,recall_down,recall_up,recall_min,recall_gap,true_down_share,true_up_share,pred_down_share,pred_up_share,pred_target_gap,true_balance_gap_ud,pred_balance_gap_ud
train,0.8514,0.6975,0.8931,0.7983,0.7983,0.0949,0.5598,0.4402,0.5888,0.4112,0.029,0.1197,0.1776
val,0.3769,-0.2457,0.3786,0.375,0.375,0.0036,0.5388,0.4612,0.4922,0.5078,0.0466,0.0776,0.0155
test,0.7124,0.0502,0.7178,0.4444,0.4444,0.2734,0.9801,0.0199,0.7146,0.2854,0.2655,0.9602,0.4292
